"SpeciesnameLocal";"SpeciesnameEurope";"CountryCode";"RedListCategory";"Endemic"
"Aglais ichnusa";"Aglais ichnusa";"IT";"LC";
"Aglais io";"Aglais io";"AL";"Unknown";
"Aglais io";"Aglais io";"BA";"LC";
"Aglais io";"Aglais io";"BE";"LC";
"Aglais io";"Aglais io";"BG";"LC";
"Aglais io";"Aglais io";"DK";"LC";
"Aglais io";"Aglais io";"EE";"No Red List available";
"Aglais io";"Aglais io";"FI";"LC";
"Aglais io";"Aglais io";"GB";"LC";
"Aglais io";"Aglais io";"HR";"LC";
"Aglais io";"Aglais io";"IE";"LC";
"Aglais io";"Aglais io";"LV";"No Red List available";
"Aglais io";"Aglais io";"ME";"No Red List available";
"Aglais io";"Aglais io";"MK";"Unknown";
"Aglais io";"Aglais io";"NL";"LC";
"Aglais io";"Aglais io";"NO";"LC";
"Aglais io";"Aglais io";"PL";"LC";
"Aglais io";"Aglais io";"PT";"No Red List available";
"Aglais io";"Aglais io";"RO";"No Red List available";
"Aglais io";"Aglais io";"RS";"LC";
"Aglais io";"Aglais io";"RU";"No Red List available";
"Aglais io";"Aglais io";"SE";"LC";
"Aglais io";"Aglais io";"SI";"LC";
"Aglais io";"Aglais io";"SK";"LC";
"Aglais urticae";"Aglais urticae";"AD";"LC";
"Aglais urticae";"Aglais urticae";"AL";"Unknown";
"Aglais urticae";"Aglais urticae";"AT";"LC";
"Aglais urticae";"Aglais urticae";"BA";"LC";
"Aglais urticae";"Aglais urticae";"BE";"LC";
"Aglais urticae";"Aglais urticae";"BG";"LC";
"Aglais urticae";"Aglais urticae";"BY";"Unknown";
"Aglais urticae";"Aglais urticae";"CH";"LC";
"Aglais urticae";"Aglais urticae";"CZ";"LC";
"Aglais urticae";"Aglais urticae";"DE";"LC";
"Aglais urticae";"Aglais urticae";"DK";"LC";
"Aglais urticae";"Aglais urticae";"EE";"No Red List available";
"Aglais urticae";"Aglais urticae";"ES";"Unknown";
"Aglais urticae";"Aglais urticae";"FI";"LC";
"Aglais urticae";"Aglais urticae";"FR";"LC";
"Aglais urticae";"Aglais urticae";"GB";"LC";
"Aglais urticae";"Aglais urticae";"GR";"LC";
"Aglais urticae";"Aglais urticae";"HR";"LC";
"Aglais urticae";"Aglais urticae";"HU";"LC";
"Aglais urticae";"Aglais urticae";"IE";"LC";
"Aglais urticae";"Aglais urticae";"IT";"LC";
"Aglais urticae";"Aglais urticae";"LI";"No Red List available";
"Aglais urticae";"Aglais urticae";"LT";"Unknown";
"Aglais urticae";"Aglais urticae";"LU";"LC";
"Aglais urticae";"Aglais urticae";"LV";"No Red List available";
"Aglais urticae";"Aglais urticae";"MD";"No Red List available";
"Aglais urticae";"Aglais urticae";"ME";"No Red List available";
"Aglais urticae";"Aglais urticae";"MK";"Unknown";
"Aglais urticae";"Aglais urticae";"MT";"No Red List available";
"Aglais urticae";"Aglais urticae";"NL";"LC";
"Aglais urticae";"Aglais urticae";"NO";"LC";
"Aglais urticae";"Aglais urticae";"PL";"LC";
"Aglais urticae";"Aglais urticae";"PT";"No Red List available";
"Aglais urticae";"Aglais urticae";"RO";"No Red List available";
"Aglais urticae";"Aglais urticae";"RS";"LC";
"Aglais urticae";"Aglais urticae";"RU";"No Red List available";
"Aglais urticae";"Aglais urticae";"SE";"LC";
"Aglais urticae";"Aglais urticae";"SI";"LC";
"Aglais urticae";"Aglais urticae";"SK";"LC";
"Aglais urticae";"Aglais urticae";"UA";"No Red List available";
"Aglais urticae ichnusa";"Aglais ichnusa";"FR";"Unknown";
"Agriades aquilo";"Agriades aquilo";"NO";"LC";
"Agriades aquilo";"Agriades aquilo";"RU";"No Red List available";
"Agriades glandon";"Agriades glandon";"ES";"Unknown";
"Agriades glandon";"Agriades glandon";"FR";"LC";
"Agriades glandon";"Agriades glandon";"IT";"LC";
"Agriades glandon";"Agriades glandon";"LI";"No Red List available";
"Agriades optilete";"Agriades optilete";"BY";"Unknown";
"Agriades optilete";"Agriades optilete";"CZ";"VU";
"Agriades optilete";"Agriades optilete";"EE";"No Red List available";
"Agriades optilete";"Agriades optilete";"FI";"LC";
"Agriades optilete";"Agriades optilete";"LT";"Unknown";
"Agriades optilete";"Agriades optilete";"LV";"No Red List available";
"Agriades optilete";"Agriades optilete";"NO";"LC";
"Agriades optilete";"Agriades optilete";"UA";"No Red List available";
"Agriades orbitulus";"Agriades orbitulus";"NO";"LC";
"Agriades pyrenaicus";"Agriades pyrenaicus";"ES";"Unknown";
"Agriades pyrenaicus";"Agriades pyrenaicus";"FR";"LC";
"Agriades zullichi";"Agriades zullichi";"ES";"EN";"Endemic (Spain)"
"Agrodiaetus damon";"Polyommatus damon";"ES";"Unknown";
"Agrodiaetus damon";"Polyommatus damon";"LI";"No Red List available";
"Agrodiaetus fabressei";"Polyommatus fabressei";"ES";"Unknown";"Endemic (Spain)"
"Agrodiaetus fulgens";"Polyommatus fulgens";"ES";"Unknown";"Endemic (Spain)"
"Agrodiaetus ripartii";"Polyommatus ripartii";"ES";"Unknown";
"Agrodiaetus violetae";"Polyommatus violetae";"ES";"Unknown";"Endemic (Spain)"
"Albulina optilete";"Agriades optilete";"IT";"LC";
"Albulina orbitulus";"Agriades orbitulus";"FR";"LC";
"Albulina orbitulus";"Agriades orbitulus";"IT";"LC";
"Albulina orbitulus";"Agriades orbitulus";"LI";"No Red List available";
"Allancastria cerisyi";"Zerynthia cerisy";"CY";"No Red List available";
"Allancastria cerisyi";"Zerynthia cerisy";"GR";"NT";
"Allancastria cerisyi";"Zerynthia cerisy";"RO";"No Red List available";
"Allancastria cretica";"Zerynthia cretica";"GR";"NT";"Endemic (Greece - Crete)"
"Anthocaris cardamines";"Anthocharis cardamines";"PT";"No Red List available";
"Anthocaris euphenoides";"Anthocharis euphenoides";"PT";"No Red List available";
"Anthocharis belia";"Anthocharis euphenoides";"ES";"Unknown";
"Anthocharis cardamines";"Anthocharis cardamines";"AD";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"AL";"Unknown";
"Anthocharis cardamines";"Anthocharis cardamines";"AT";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"BA";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"BE";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"BG";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"BY";"Unknown";
"Anthocharis cardamines";"Anthocharis cardamines";"CH";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"CY";"No Red List available";
"Anthocharis cardamines";"Anthocharis cardamines";"CZ";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"DE";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"DK";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"EE";"No Red List available";
"Anthocharis cardamines";"Anthocharis cardamines";"ES";"Unknown";
"Anthocharis cardamines";"Anthocharis cardamines";"FI";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"FR";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"GB";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"GR";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"HR";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"HU";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"IE";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"IT";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"LI";"No Red List available";
"Anthocharis cardamines";"Anthocharis cardamines";"LT";"Unknown";
"Anthocharis cardamines";"Anthocharis cardamines";"LU";"NT";
"Anthocharis cardamines";"Anthocharis cardamines";"LV";"No Red List available";
"Anthocharis cardamines";"Anthocharis cardamines";"MD";"No Red List available";
"Anthocharis cardamines";"Anthocharis cardamines";"ME";"No Red List available";
"Anthocharis cardamines";"Anthocharis cardamines";"MK";"Unknown";
"Anthocharis cardamines";"Anthocharis cardamines";"NL";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"NO";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"PL";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"RO";"No Red List available";
"Anthocharis cardamines";"Anthocharis cardamines";"RS";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"RU";"No Red List available";
"Anthocharis cardamines";"Anthocharis cardamines";"SE";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"SI";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"SK";"LC";
"Anthocharis cardamines";"Anthocharis cardamines";"UA";"No Red List available";
"Anthocharis damone";"Anthocharis damone";"AL";"Unknown";
"Anthocharis damone";"Anthocharis damone";"GR";"NT";
"Anthocharis damone";"Anthocharis damone";"IT";"LC";
"Anthocharis damone";"Anthocharis damone";"MK";"VU";
"Anthocharis damone";"Anthocharis damone";"RS";"Unknown";
"Anthocharis euphenoides";"Anthocharis euphenoides";"AD";"LC";
"Anthocharis euphenoides";"Anthocharis euphenoides";"CH";"NtA";
"Anthocharis euphenoides";"Anthocharis euphenoides";"FR";"LC";
"Anthocharis euphenoides";"Anthocharis euphenoides";"IT";"NT";
"Anthocharis gruneri";"Anthocharis gruneri";"AL";"VU";
"Anthocharis gruneri";"Anthocharis gruneri";"BG";"VU";
"Anthocharis gruneri";"Anthocharis gruneri";"GR";"LC";
"Anthocharis gruneri";"Anthocharis gruneri";"MK";"Unknown";
"Anthocharis gruneri";"Anthocharis gruneri";"RS";"Unknown";
"Apatura ilia";"Apatura ilia";"AD";"DD";
"Apatura ilia";"Apatura ilia";"AL";"VU";
"Apatura ilia";"Apatura ilia";"AT";"NT";
"Apatura ilia";"Apatura ilia";"BA";"NT";
"Apatura ilia";"Apatura ilia";"BE";"LC";
"Apatura ilia";"Apatura ilia";"BG";"LC";
"Apatura ilia";"Apatura ilia";"BY";"Unknown";
"Apatura ilia";"Apatura ilia";"CH";"VU";
"Apatura ilia";"Apatura ilia";"CZ";"LC";
"Apatura ilia";"Apatura ilia";"DE";"NT";
"Apatura ilia";"Apatura ilia";"EE";"No Red List available";
"Apatura ilia";"Apatura ilia";"ES";"Unknown";
"Apatura ilia";"Apatura ilia";"FI";"LC";
"Apatura ilia";"Apatura ilia";"FR";"LC";
"Apatura ilia";"Apatura ilia";"GR";"LC";
"Apatura ilia";"Apatura ilia";"HR";"NT";
"Apatura ilia";"Apatura ilia";"HU";"LC";
"Apatura ilia";"Apatura ilia";"IT";"LC";
"Apatura ilia";"Apatura ilia";"LI";"No Red List available";
"Apatura ilia";"Apatura ilia";"LT";"Unknown";
"Apatura ilia";"Apatura ilia";"LU";"EN";
"Apatura ilia";"Apatura ilia";"LV";"No Red List available";
"Apatura ilia";"Apatura ilia";"MD";"No Red List available";
"Apatura ilia";"Apatura ilia";"ME";"No Red List available";
"Apatura ilia";"Apatura ilia";"MK";"Unknown";
"Apatura ilia";"Apatura ilia";"PL";"LC";
"Apatura ilia";"Apatura ilia";"PT";"No Red List available";
"Apatura ilia";"Apatura ilia";"RO";"No Red List available";
"Apatura ilia";"Apatura ilia";"RS";"VU";
"Apatura ilia";"Apatura ilia";"RU";"No Red List available";
"Apatura ilia";"Apatura ilia";"SI";"VU";
"Apatura ilia";"Apatura ilia";"SK";"LC";
"Apatura ilia";"Apatura ilia";"UA";"No Red List available";
"Apatura iris";"Apatura iris";"AD";"DD";
"Apatura iris";"Apatura iris";"AL";"Unknown";
