scientific_name,status,endemic,rlc,rlc_numeric,rlc_eur,rlc_eu27,country_code,country_name,part_of_eu,area
Aglais ichnusa,P,,Unknown,1,LC,LC,FR,France,y,551394
Aglais ichnusa,P,,LC,1,LC,LC,IT,Italy,y,301318
Aglais io,P,,LC,1,LC,LC,AD,Andorra,,468
Aglais io,P,,Unknown,1,LC,LC,AL,Albania,,28748
Aglais io,P,,LC,1,LC,LC,AT,Austria,y,83858
Aglais io,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Aglais io,P,,LC,1,LC,LC,BE,Belgium,y,30528
Aglais io,P,,LC,1,LC,LC,BG,Bulgaria,y,110994
Aglais io,P,,Unknown,1,LC,LC,BY,Belarus,,207600
Aglais io,P,,LC,1,LC,LC,CH,Switzerland,,41290
Aglais io,P,,NE,,LC,LC,CZ,Czech Republic,y,78866
Aglais io,P,,LC,1,LC,LC,DE,Germany,y,357168
Aglais io,P,,LC,1,LC,LC,DK,Denmark,y,44493
Aglais io,P,,LC,,LC,LC,EE,Estonia,y,45339
Aglais io,P,,NE,,LC,LC,ES,Spain,y,498468
Aglais io,P,,LC,1,LC,LC,FI,Finland,y,338145
Aglais io,P,,LC,1,LC,LC,FR,France,y,551394
Aglais io,P,,LC,1,LC,LC,GB,United Kingdom,y,244820
Aglais io,P,,LC,1,LC,LC,GR,Greece,y,131940
Aglais io,P,,LC,1,LC,LC,HR,Croatia,y,56594
Aglais io,P,,LC,1,LC,LC,HU,Hungary,y,93030
Aglais io,P,,LC,1,LC,LC,IE,Ireland,y,70273
Aglais io,P,,LC,1,LC,LC,IT,Italy,y,301318
Aglais io,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Aglais io,P,,LC,,LC,LC,LT,Lithuania,y,65300
Aglais io,P,,NT,20,LC,LC,LU,Luxembourg,y,2428
Aglais io,P,,NRLA,,LC,LC,LV,Latvia,y,64589
Aglais io,P,,NRLA,,LC,LC,MD,Moldova,,33846
Aglais io,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Aglais io,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Aglais io,P,,LC,1,LC,LC,NL,Netherlands,y,41198
Aglais io,P,,LC,1,LC,LC,NO,Norway,,385178
Aglais io,P,,LC,1,LC,LC,PL,Poland,y,312685
Aglais io,P,,NRLA,,LC,LC,PT,Portugal,y,91568
Aglais io,P,,LC,1,LC,LC,RO,Romania,y,238392
Aglais io,P,,LC,1,LC,LC,RS,Serbia,,88361
Aglais io,P,,NRLA,,LC,LC,RU,Russia,,3972400
Aglais io,P,,LC,1,LC,LC,SE,Sweden,y,449964
Aglais io,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Aglais io,P,,LC,1,LC,LC,SK,Slovakia,y,49036
Aglais io,P,,LC,,LC,LC,UA,Ukraine,,603628
Aglais urticae,P,,LC,1,LC,LC,AD,Andorra,,468
Aglais urticae,P,,Unknown,1,LC,LC,AL,Albania,,28748
Aglais urticae,P,,LC,1,LC,LC,AT,Austria,y,83858
Aglais urticae,P,,LC,1,LC,LC,BA,Bosnia and Herzegovina,,51129
Aglais urticae,P,,LC,1,LC,LC,BE,Belgium,y,30528
Aglais urticae,P,,LC,1,LC,LC,BG,Bulgaria,y,110994
Aglais urticae,P,,Unknown,1,LC,LC,BY,Belarus,,207600
Aglais urticae,P,,LC,1,LC,LC,CH,Switzerland,,41290
Aglais urticae,P,,NE,,LC,LC,CZ,Czech Republic,y,78866
Aglais urticae,P,,LC,1,LC,LC,DE,Germany,y,357168
Aglais urticae,P,,LC,1,LC,LC,DK,Denmark,y,44493
Aglais urticae,P,,LC,,LC,LC,EE,Estonia,y,45339
Aglais urticae,P,,NE,,LC,LC,ES,Spain,y,498468
Aglais urticae,P,,LC,1,LC,LC,FI,Finland,y,338145
Aglais urticae,P,,LC,1,LC,LC,FR,France,y,551394
Aglais urticae,P,,LC,1,LC,LC,GB,United Kingdom,y,244820
Aglais urticae,P,,LC,1,LC,LC,GR,Greece,y,131940
Aglais urticae,P,,LC,1,LC,LC,HR,Croatia,y,56594
Aglais urticae,P,,LC,1,LC,LC,HU,Hungary,y,93030
Aglais urticae,P,,LC,1,LC,LC,IE,Ireland,y,70273
Aglais urticae,P,,LC,1,LC,LC,IT,Italy,y,301318
Aglais urticae,P,,NRLA,,LC,LC,LI,Liechtenstein,,160
Aglais urticae,P,,LC,,LC,LC,LT,Lithuania,y,65300
Aglais urticae,P,,LC,1,LC,LC,LU,Luxembourg,y,2428
Aglais urticae,P,,NRLA,,LC,LC,LV,Latvia,y,64589
Aglais urticae,P,,NRLA,,LC,LC,MD,Moldova,,33846
Aglais urticae,P,,NRLA,,LC,LC,ME,Montenegro,,13812
Aglais urticae,P,,Unknown,1,LC,LC,MK,North Macedonia,,25713
Aglais urticae,P,,LC,1,LC,LC,NL,Netherlands,y,41198
Aglais urticae,P,,LC,1,LC,LC,NO,Norway,,385178
Aglais urticae,P,,LC,1,LC,LC,PL,Poland,y,312685
Aglais urticae,P,,NRLA,,LC,LC,PT,Portugal,y,91568
Aglais urticae,P,,LC,1,LC,LC,RO,Romania,y,238392
Aglais urticae,P,,LC,1,LC,LC,RS,Serbia,,88361
Aglais urticae,P,,NRLA,,LC,LC,RU,Russia,,3972400
Aglais urticae,P,,LC,1,LC,LC,SE,Sweden,y,449964
Aglais urticae,P,,LC,1,LC,LC,SI,Slovenia,y,20273
Aglais urticae,P,,LC,1,LC,LC,SK,Slovakia,y,49036
Aglais urticae,P,,LC,,LC,LC,UA,Ukraine,,603628
Agriades aquilo,P,,EN,50,LC,LC,FI,Finland,y,338145
Agriades aquilo,P,,LC,1,LC,LC,NO,Norway,,385178
Agriades aquilo,P,,NRLA,,LC,LC,RU,Russia,,3972400
Agriades aquilo,P,,NT,20,LC,LC,SE,Sweden,y,449964
Agriades dardanus,P,,VU,30,NT,NT,BA,Bosnia and Herzegovina,,51129
Agriades dardanus,P,,EN,50,NT,NT,BG,Bulgaria,y,110994
