scientific_name,number_of_countries
Aglais ichnusa,2
Aglais io,39
Aglais urticae,39
Agriades aquilo,4
Agriades dardanus,5
Agriades glandon,8
Agriades optilete,23
Agriades orbitulus,10
Agriades pyrenaicus,2
Agriades zullichi,1
Anthocharis cardamines,40
Anthocharis damone,5
Anthocharis euphenoides,5
Anthocharis gruneri,5
Apatura ilia,34
Apatura iris,36
Apatura metis,14
Aphantopus hyperantus,38
Aporia crataegi,38
Araschnia levana,32
Archon apollinus,1
Arethusana arethusa,24
Argynnis laodice,12
Argynnis pandora,22
Argynnis paphia,39
Aricia agestis,33
Aricia anteros,10
Aricia artaxerxes,31
Aricia cramera,4
Aricia montensis,3
Aricia morronensis,3
Aricia nicias,9
Azanus jesous,1
Azanus ubaldus,3
Boloria alaskensis,1
Boloria angarensis,1
Boloria aquilonaris,20
Boloria chariclea,4
Boloria dia,33
Boloria eunomia,22
Boloria euphrosyne,39
Boloria freija,7
Boloria frigga,8
Boloria graeca,9
Boloria improba,4
Boloria napaea,11
Boloria oscarus,1
Boloria pales,18
Boloria polaris,4
Boloria selene,34
Boloria selenis,1
Boloria thore,11
Boloria titania,19
Boloria tritonia,1
Borbo borbonica,1
Brenthis daphne,30
Brenthis hecate,21
Brenthis ino,36
Brintesia circe,24
Cacyreus marshalli,15
Callophrys avis,4
Callophrys chalybeitincta,1
Callophrys rubi,39
Callophrys suaveola,1
Carcharodus alceae,32
Carcharodus baeticus,5
Carcharodus floccifera,28
Carcharodus lavatherae,22
Carcharodus orientalis,11
Carcharodus stauderi,1
Carcharodus tripolinus,2
Carterocephalus palaemon,36
Carterocephalus silvicola,14
Catopsilia florella,1
Celastrina argiolus,41
Charaxes jasius,10
Chazara briseis,25
Chazara persephone,2
Chazara prieuri,1
Cigaritis acamas,1
Coenonympha amaryllis,1
Coenonympha arcania,35
Coenonympha corinna,2
Coenonympha dorus,6
Coenonympha gardetta,7
Coenonympha glycerion,31
Coenonympha hero,18
Coenonympha leander,8
Coenonympha oedippus,15
Coenonympha orientalis,5
Coenonympha pamphilus,40
Coenonympha phryne,2
Coenonympha rhodopensis,10
Coenonympha thyrsis,1
Coenonympha tullia,26
Colias alfacariensis,27
Colias aurorina,2
Colias caucasica,8
Colias chrysotheme,8
Colias crocea,38
Colias erate,13
Colias hecla,4
Colias hyale,30
Colias myrmidone,14
Colias palaeno,20
Colias phicomone,8
Colias tyche,4
Colotis evagore,1
Cupido alcetas,23
Cupido argiades,33
Cupido decoloratus,18
Cupido lorquinii,2
Cupido minimus,39
Cupido osiris,21
Cyaniris semiargus,38
Cyclyrius webbianus,1
Danaus chrysippus,9
Danaus plexippus,4
Erebia aethiopella,2
Erebia aethiops,27
Erebia albergana,8
Erebia arvernensis,5
Erebia calcarius,3
Erebia callias,1
Erebia cassioides,2
