"usageKey","scientificName","rank","scientificNameLocal","scientificNameEU","CountryCode","threatStatus","Endemic","occurrenceStatus","taxonID"
9510651,"Aglais ichnusa (Bonelli, 1826)","SPECIES","Aglais ichnusa","Aglais ichnusa","IT","LC","","present","9510651:be418d91993a2f24baef0e659d2ac09a"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","AL","Unknown","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","BA","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","BE","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","BG","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","DK","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","EE","No Red List available","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","FI","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","GB","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","HR","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","IE","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","LV","No Red List available","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","ME","No Red List available","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","MK","Unknown","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","NL","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","NO","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","PL","LC","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","PT","No Red List available","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Aglais io","Aglais io","RO","No Red List available","","present","4535827:5ca92ef23b9fc3d8cbee10032359e026"
