"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","scientificNameLocal","scientificNameEU","license","rightsHolder","accessRights","datasetName","occurrencestatus","language","datasetID","kingdom1","phylum1","class1"
9510651,"Aglais ichnusa (Bonelli, 1826)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aglais","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Aglais ichnusa","Aglais ichnusa","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aglais","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Aglais io","Aglais io","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aglais","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Aglais urticae","Aglais urticae","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1926099,"Agriades aquilo (Boisduval, 1932)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades aquilo","Agriades aquilo","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1926054,"Agriades glandon (Prunner, 1798)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades glandon","Agriades glandon","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades optilete","Agriades optilete","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
7601222,"Agriades orbitulus (Prunner, 1798), 2012","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades orbitulus","Agriades orbitulus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
9467126,"Agriades pyrenaica (Boisduval, 1840)","SPECIES","Lepidoptera","FUZZY","Arthropoda","Animalia","Agriades","Insecta",95,FALSE,"ACCEPTED","Lycaenidae","Agriades pyrenaicus","Agriades pyrenaicus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
1926102,"Agriades zullichi Hemming, 1933","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades zullichi","Agriades zullichi","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
7484070,"Polyommatus damon (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Polyommatus","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Agrodiaetus damon","Polyommatus damon","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta"
