"usageKey","scientificName","rank","order","matchType","phylum","kingdom","genus","class","confidence","synonym","status","family","scientificNameLocal","scientificNameEU","license","rightsHolder","accessRights","datasetName","occurrencestatus","language","datasetID","kingdom1","phylum1","class1","taxonID"
9510651,"Aglais ichnusa (Bonelli, 1826)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aglais","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Aglais ichnusa","Aglais ichnusa","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","9510651:be418d91993a2f24baef0e659d2ac09a"
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aglais","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Aglais io","Aglais io","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","4535827:5ca92ef23b9fc3d8cbee10032359e026"
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aglais","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Aglais urticae","Aglais urticae","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1894840:2d76d3b0f453da6f171c78bc137f4ca0"
9449763,"Aglais urticae ichnusa (Hübner, 1824)","SUBSPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aglais","Insecta",97,TRUE,"SYNONYM","Nymphalidae","Aglais urticae ichnusa","Aglais ichnusa","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","9449763:d7ea52a4b08cf695ca524ee75c3846a7"
1926099,"Agriades aquilo (Boisduval, 1932)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades aquilo","Agriades aquilo","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1926099:6d4127d5cac02b893d92a60e48d2a076"
1926054,"Agriades glandon (Prunner, 1798)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades glandon","Agriades glandon","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1926054:580535df1b9f61ba3268d67cfd888ad3"
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades optilete","Agriades optilete","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","8020665:a0ab5f0820761d4e3e8792c72862d16d"
7601222,"Agriades orbitulus (Prunner, 1798), 2012","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades orbitulus","Agriades orbitulus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","7601222:70fe2b70351f3d1f56d1fa2b8b837157"
9467126,"Agriades pyrenaica (Boisduval, 1840)","SPECIES","Lepidoptera","FUZZY","Arthropoda","Animalia","Agriades","Insecta",95,FALSE,"ACCEPTED","Lycaenidae","Agriades pyrenaicus","Agriades pyrenaicus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","9467126:2d47ba18cd8d4105d46923736028dae2"
1926102,"Agriades zullichi Hemming, 1933","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agriades zullichi","Agriades zullichi","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1926102:5cce97a359db8e91c48faf50867d5f6c"
1921446,"Agrodiaetus damon (Denis & Schiffermüller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Polyommatus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agrodiaetus damon","Polyommatus damon","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1921446:4c61d00f78f1e5bf39a72c6b22739d9b"
1921509,"Agrodiaetus fabressei (Oberthür, 1910)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Polyommatus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agrodiaetus fabressei","Polyommatus fabressei","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1921509:898f31dc93ee17e0a0e06ee3fe6b1657"
1921439,"Agrodiaetus Hübner, 1822","GENUS","Lepidoptera","HIGHERRANK","Arthropoda","Animalia","Agrodiaetus","Insecta",94,FALSE,"ACCEPTED","Lycaenidae","Agrodiaetus fulgens","Polyommatus fulgens","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1921439:35fbb2281ff314eb5cd763fb01bca0c9"
1921591,"Agrodiaetus ripartii (Freyer, 1830)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Agrodiaetus","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Agrodiaetus ripartii","Polyommatus ripartii","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1921591:31d149f6693126d94b336124b2b810ac"
9088852,"Agrodiaetus violetae Gomez-Bustillo, Exposito & Martinez, 1979","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Polyommatus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Agrodiaetus violetae","Polyommatus violetae","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","9088852:eb544bc64b9cdbb52e65d22217ce5cec"
8450329,"Albulina optilete (Knoch, 1781)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Albulina optilete","Agriades optilete","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","8450329:1d838427fcf445fa684ad833920394cb"
1932960,"Albulina orbitulus (Prunner, 1798)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Plebejus","Insecta",98,TRUE,"SYNONYM","Lycaenidae","Albulina orbitulus","Agriades orbitulus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1932960:4b75303e963ea5785f33230aac6d3df7"
1938212,"Allancastria Bryk, 1932","GENUS","Lepidoptera","HIGHERRANK","Arthropoda","Animalia","Allancastria","Insecta",92,FALSE,"DOUBTFUL","Papilionidae","Allancastria cerisyi","Zerynthia cerisy","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1938212:d137cab2ff1b624e04ed2edf1573f72a"
1938212,"Allancastria Bryk, 1932","GENUS","Lepidoptera","HIGHERRANK","Arthropoda","Animalia","Allancastria","Insecta",92,FALSE,"DOUBTFUL","Papilionidae","Allancastria cretica","Zerynthia cretica","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1938212:d137cab2ff1b624e04ed2edf1573f72a"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Lepidoptera","FUZZY","Arthropoda","Animalia","Anthocharis","Insecta",84,FALSE,"ACCEPTED","Pieridae","Anthocaris cardamines","Anthocharis cardamines","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1919712:878ef8646c49dbfc9612a1856fabc204"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Lepidoptera","FUZZY","Arthropoda","Animalia","Anthocharis","Insecta",84,FALSE,"ACCEPTED","Pieridae","Anthocaris euphenoides","Anthocharis euphenoides","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1919698:7e62970171d5bbc77314430e0be2a3ea"
1919703,"Anthocharis belia (Linnaeus, 1767)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocharis belia","Anthocharis euphenoides","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1919703:707fc8d6efad8e976996a6ab80b37141"
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocharis cardamines","Anthocharis cardamines","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1919712:878ef8646c49dbfc9612a1856fabc204"
1919716,"Anthocharis damone Boisduval, 1836","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocharis damone","Anthocharis damone","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1919716:c552e31ddc5a123682c72c19ae42f2b4"
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocharis euphenoides","Anthocharis euphenoides","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1919698:7e62970171d5bbc77314430e0be2a3ea"
1919706,"Anthocharis gruneri Herrich-Schaffer, 1851","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Anthocharis","Insecta",98,FALSE,"ACCEPTED","Pieridae","Anthocharis gruneri","Anthocharis gruneri","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1919706:933c311969a5bc0766ceaf36bfed49bb"
8138711,"Apatura ilia (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Apatura","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Apatura ilia","Apatura ilia","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","8138711:8ebdace79db829a55a2cfb395b6ab31f"
5131910,"Apatura iris (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Apatura","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Apatura iris","Apatura iris","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","5131910:10aa5e05af17b8edd8f1fac6a625f7e9"
5131860,"Apatura metis Freyer, 1829","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Apatura","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Apatura metis","Apatura metis","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","5131860:b7d82a5b3fea1a71f52c630eafde9c43"
1896841,"Aphantopus hyperantus (Linnaeus, 1758)","SPECIES","Lepidoptera","FUZZY","Arthropoda","Animalia","Aphantopus","Insecta",96,FALSE,"ACCEPTED","Nymphalidae","Aphantopus hyperanthus","Aphantopus hyperantus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1896841:c5727272d5de696eaa696dcd3818b752"
1896841,"Aphantopus hyperantus (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aphantopus","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Aphantopus hyperantus","Aphantopus hyperantus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1896841:c5727272d5de696eaa696dcd3818b752"
4535249,"Apharitis acamas (Klug, 1834)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Apharitis","Insecta",98,FALSE,"ACCEPTED","Lycaenidae","Apharitis acamas","Cigaritis acamas","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","4535249:2e90eadb84301d4a279e88d748485532"
1920218,"Aporia crataegi L.","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Aporia","Insecta",98,FALSE,"ACCEPTED","Pieridae","Aporia crataegi","Aporia crataegi","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1920218:ba6183c215def60ddfcf06ddfd663ca1"
1902533,"Araschnia levana (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Araschnia","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Araschnia levana","Araschnia levana","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1902533:df9340339ad48aca9aaf60bd40472108"
1936969,"Archon apollinus (Herbst, 1798)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Archon","Insecta",98,FALSE,"ACCEPTED","Papilionidae","Archon apollinus","Archon apollinus","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1936969:779c9a891dbea5409a48fb44d4b02096"
1893137,"Arethusana arethusa (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Arethusana","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Arethusana arethusa","Arethusana arethusa","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1893137:198a581e795044c4e9b9774ac6f3a4ec"
1893144,"Arethusana boabdil Rambur, 1938","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Arethusana","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Arethusana boabdil","Arethusana arethusa","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","1893144:c8908b6a51665923579af4557f69dfc1"
4535434,"Argynnis adippe (Denis & Schiffermuller, 1775)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis adippe","Argynnis adippe","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","4535434:0f193f4547011b82798e8c0bca674a5e"
4535447,"Argynnis aglaja (Linnaeus, 1758)","SPECIES","Lepidoptera","EXACT","Arthropoda","Animalia","Argynnis","Insecta",98,FALSE,"ACCEPTED","Nymphalidae","Argynnis aglaja","Argynnis aglaja","http://creativecommons.org/publicdomain/zero/1.0/","INBO","http://www.inbo.be/en/norms-for-data-use","Butterfly Species List Europe","present","EN","DOI","Animalia","Artropoda","Insecta","4535447:11d6bf8b0f14034cc4dad9d4bd521f5a"
