scientific_name,phylogenetic_order,family,subfamily,genus,specific_epithet,authorship,english_name,taxon_comments,habitats_directive,spec_status,edge_of_range,rlc_eur,endemic_eur,rlc_eu27,endemic_eu27,endemic
Aglais ichnusa,298,Nymphalidae,Nymphalinae,Aglais,ichnusa,"(Hübner, 1824)",Corsican Small Tortoiseshell,,,,,LC,EUR,LC,EU27,
Aglais io,296,Nymphalidae,Nymphalinae,Aglais,io,"(Linnaeus, 1758)",Peacock,,,,,LC,,LC,,
Aglais urticae,297,Nymphalidae,Nymphalinae,Aglais,urticae,"(Linnaeus, 1758)",Small Tortoiseshell,,,,,LC,,LC,,
Agriades aquilo,201,Lycaenidae,Polyommatinae,Agriades,aquilo,"(Boisduval, 1832)",Arctic Blue,,II,,,LC,,LC,,
Agriades dardanus,198,Lycaenidae,Polyommatinae,Agriades,dardanus,"(Freyer, 1843)",Bosnian Blue,,,SPEC2,,NT,,NT,,
Agriades glandon,200,Lycaenidae,Polyommatinae,Agriades,glandon,"(de Prunner, 1798)",Glandon Blue,,,,,LC,EUR,LC,,
Agriades optilete,196,Lycaenidae,Polyommatinae,Agriades,optilete,"(Knoch, 1781)",Cranberry Blue,,,,,LC,,LC,,
Agriades orbitulus,195,Lycaenidae,Polyommatinae,Agriades,orbitulus,"(de Prunner, 1798)",Alpine Blue,,,,,LC,,LC,,
Agriades pyrenaicus,197,Lycaenidae,Polyommatinae,Agriades,pyrenaicus,"(Boisduval, 1840)",Gavarnie Blue,,,,,LC,EUR,LC,EU27,
Agriades zullichi,199,Lycaenidae,Polyommatinae,Agriades,zullichi,"Hemming, 1933",Zullich's Blue,,,SPEC1,,EN,EUR,EN,EU27,ES
Anthocharis cardamines,117,Pieridae,Pierinae,Anthocharis,cardamines,"(Linnaeus, 1758)",Orange-tip,,,,,LC,,LC,,
Anthocharis damone,119,Pieridae,Pierinae,Anthocharis,damone,"Boisduval, 1836",Eastern Orange-tip,,,,,LC,,LC,,
Anthocharis euphenoides,116,Pieridae,Pierinae,Anthocharis,euphenoides,"Staudinger, 1869",Provence Orange-tip,,,,,LC,EUR,LC,,
Anthocharis gruneri,118,Pieridae,Pierinae,Anthocharis,gruneri,"Herrich-Schäffer, 1851",Grüner's Orange-tip,,,,,LC,,LC,,
Apatura ilia,290,Nymphalidae,Apaturinae,Apatura,ilia,"([Denis & Schiffermüller], 1775)",Lesser Purple Emperor,,,,,LC,,LC,,
Apatura iris,288,Nymphalidae,Apaturinae,Apatura,iris,"(Linnaeus, 1758)",Purple Emperor,,,,,LC,,LC,,
Apatura metis,289,Nymphalidae,Apaturinae,Apatura,metis,"Freyer, 1829",Freyer's Purple Emperor,,IV,,,LC,,LC,,
Aphantopus hyperantus,430,Nymphalidae,Satyrinae,Aphantopus,hyperantus,"(Linnaeus, 1758)",Ringlet,,,,,LC,,LC,,
