"usageKey","scientificName","rank","matchType","kingdom","phylum","class","order","family","genus","confidence","synonym","status","SpeciesnameEurope","Family","Subfamily","PhylogeneticOrder","AuthorYear","Genus","Species","EnglishName","RedListCategoryEurope","RedListCategoryEU","HabitatsDirective","SPECstatus","EuropeanEndemic","EUEndemic","Endemic","EdgeOfRange","Comments"
9510651,"Aglais ichnusa (Bonelli, 1826)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais ichnusa","Nymphalidae","Nymphalinae",298,"(Hübner, 1824)","Aglais","ichnusa","Corsican Small Tortoiseshell","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
4535827,"Aglais io (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais io","Nymphalidae","Nymphalinae",296,"(Linnaeus, 1758)","Aglais","io","Peacock","LC","LC",,,,,,,
1894840,"Aglais urticae (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aglais",98,FALSE,"ACCEPTED","Aglais urticae","Nymphalidae","Nymphalinae",297,"(Linnaeus, 1758)","Aglais","urticae","Small Tortoiseshell","LC","LC",,,,,,,
1926099,"Agriades aquilo (Boisduval, 1932)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,TRUE,"SYNONYM","Agriades aquilo","Lycaenidae","Polyommatinae",201,"(Boisduval, 1832)","Agriades","aquilo","Arctic Blue","LC","LC","II",,,,,,
9202521,"Agriades dardanus (Freyer, 1844)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Agriades",98,FALSE,"ACCEPTED","Agriades dardanus","Lycaenidae","Polyommatinae",198,"(Freyer, 1843)","Agriades","dardanus","Bosnian Blue","NT","NT",,"SPEC2",,,,,
1926054,"Agriades glandon (Prunner, 1798)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,TRUE,"SYNONYM","Agriades glandon","Lycaenidae","Polyommatinae",200,"(de Prunner, 1798)","Agriades","glandon","Glandon Blue","LC","LC",,,"EuropeanEndemic",,,,
8020665,"Agriades optilete (Knoch, 1781), 2012","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,TRUE,"SYNONYM","Agriades optilete","Lycaenidae","Polyommatinae",196,"(Knoch, 1781)","Agriades","optilete","Cranberry Blue","LC","LC",,,,,,,
7601222,"Agriades orbitulus (Prunner, 1798), 2012","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,TRUE,"SYNONYM","Agriades orbitulus","Lycaenidae","Polyommatinae",195,"(de Prunner, 1798)","Agriades","orbitulus","Alpine Blue","LC","LC",,,,,,,
9467126,"Agriades pyrenaica (Boisduval, 1840)","SPECIES","FUZZY","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Agriades",95,FALSE,"ACCEPTED","Agriades pyrenaicus","Lycaenidae","Polyommatinae",197,"(Boisduval, 1840)","Agriades","pyrenaicus","Gavarnie Blue","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
1926102,"Agriades zullichi Hemming, 1933","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus",98,TRUE,"SYNONYM","Agriades zullichi","Lycaenidae","Polyommatinae",199,"Hemming, 1933","Agriades","zullichi","Zullich's Blue","EN","EN",,"SPEC1","EuropeanEndemic","EUEndemic","Spain",,
1919712,"Anthocharis cardamines (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis",98,FALSE,"ACCEPTED","Anthocharis cardamines","Pieridae","Pierinae",117,"(Linnaeus, 1758)","Anthocharis","cardamines","Orange-tip","LC","LC",,,,,,,
1919716,"Anthocharis damone Boisduval, 1836","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis",98,FALSE,"ACCEPTED","Anthocharis damone","Pieridae","Pierinae",119,"Boisduval, 1836","Anthocharis","damone","Eastern Orange-tip","LC","LC",,,,,,,
1919698,"Anthocharis euphenoides Staudinger, 1869","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis",98,FALSE,"ACCEPTED","Anthocharis euphenoides","Pieridae","Pierinae",116,"Staudinger, 1869","Anthocharis","euphenoides","Provence Orange-tip","LC","LC",,,"EuropeanEndemic",,,,
1919706,"Anthocharis gruneri Herrich-Schaffer, 1851","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis",98,FALSE,"ACCEPTED","Anthocharis gruneri","Pieridae","Pierinae",118,"Herrich-Schäffer, 1851","Anthocharis","gruneri","Grüner's Orange-tip","LC","LC",,,,,,,
8138711,"Apatura ilia (Denis & Schiffermuller, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Apatura",98,FALSE,"ACCEPTED","Apatura ilia","Nymphalidae","Apaturinae",290,"([Denis & Schiffermüller], 1775)","Apatura","ilia","Lesser Purple Emperor","LC","LC",,,,,,,
5131910,"Apatura iris (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Apatura",98,FALSE,"ACCEPTED","Apatura iris","Nymphalidae","Apaturinae",288,"(Linnaeus, 1758)","Apatura","iris","Purple Emperor","LC","LC",,,,,,,
5131860,"Apatura metis Freyer, 1829","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Apatura",98,FALSE,"ACCEPTED","Apatura metis","Nymphalidae","Apaturinae",289,"Freyer, 1829","Apatura","metis","Freyer's Purple Emperor","LC","LC","IV",,,,,,
1896841,"Aphantopus hyperantus (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Aphantopus",98,FALSE,"ACCEPTED","Aphantopus hyperantus","Nymphalidae","Satyrinae",430,"(Linnaeus, 1758)","Aphantopus","hyperantus","Ringlet","LC","LC",,,,,,,
1920218,"Aporia crataegi L.","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Aporia",98,FALSE,"ACCEPTED","Aporia crataegi","Pieridae","Pierinae",87,"(Linnaeus, 1758)","Aporia","crataegi","Black-veined White","LC","LC",,,,,,,
1902533,"Araschnia levana (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Araschnia",98,FALSE,"ACCEPTED","Araschnia levana","Nymphalidae","Nymphalinae",291,"(Linnaeus, 1758)","Araschnia","levana","Map","LC","LC",,,,,,,
1936969,"Archon apollinus (Herbst, 1798)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Archon",98,FALSE,"ACCEPTED","Archon apollinus","Papilionidae","Parnassiinae",9,"(Herbst, 1798)","Archon","apollinus","False Apollo","NT","LC",,"SPEC2",,,,,
1893137,"Arethusana arethusa (Denis & Schiffermuller, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Arethusana",98,FALSE,"ACCEPTED","Arethusana arethusa","Nymphalidae","Satyrinae",397,"([Denis & Schiffermüller], 1775)","Arethusana","arethusa","False Grayling","LC","LC",,,,,,,
4535445,"Argynnis laodice (Pallas, 1771)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Argynnis",98,FALSE,"ACCEPTED","Argynnis laodice","Nymphalidae","Heliconiinae",263,"(Pallas, 1771)","Argynnis","laodice","Pallas' Fritillary","LC","NT",,,,,,,
7810861,"Argynnis pandora (Denis & Schiffermuller, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Argynnis",98,FALSE,"ACCEPTED","Argynnis pandora","Nymphalidae","Heliconiinae",262,"([Denis & Schiffermüller], 1775)","Argynnis","pandora","Cardinal","LC","LC",,,,,,,
1909398,"Argynnis paphia (Linnaeus, 1758)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Argynnis",98,FALSE,"ACCEPTED","Argynnis paphia","Nymphalidae","Heliconiinae",261,"(Linnaeus, 1758)","Argynnis","paphia","Silver-washed Fritillary","LC","LC",,,,,,,
1933095,"Aricia agestis (Denis & Schiffermuller, 1775)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aricia",98,FALSE,"ACCEPTED","Aricia agestis","Lycaenidae","Polyommatinae",218,"([Denis & Schiffermüller], 1775)","Aricia","agestis","Brown Argus","LC","LC",,,,,,,
9195563,"Aricia anteros (Freyer, 1838)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aricia",98,FALSE,"ACCEPTED","Aricia anteros","Lycaenidae","Polyommatinae",213,"(Freyer, 1838)","Aricia","anteros","Blue Argus","NT","LC",,"SPEC2",,,,,
1933138,"Aricia artaxerxes (Fabricius, 1793)","SPECIES","EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Aricia",98,FALSE,"ACCEPTED","Aricia artaxerxes","Lycaenidae","Polyommatinae",216,"(Fabricius, 1793)","Aricia","artaxerxes","Northern Brown Argus","LC","LC",,,,,,,
