raw_country_code,RLCNum,Country,EU,Area,Npeople,sqrtArea
AD,12.77027027027027,Andorra,,468,76965,21.633307652783937
AL,10.542288557213931,Albania,,28748,2930187,169.55235179731363
AT,20.946341463414633,Austria,EU,83858,8735453,289.5824580322503
BA,11.6,Bosnia and Herzegovina,,51129,3507017,226.11722623453525
BE,35.1875,Belgium,EU,30528,11429336,174.72263734273244
BG,9.98611111111111,Bulgaria,EU,110994,7084571,333.15762035409006
BY,10.345864661654135,Belarus,,207600,9468338,455.6314299957807
CH,18.915841584158414,Switzerland,,41290,8476005,203.19940944796076
CZ,33.42675159235669,Czech Republic,EU,78866,10618303,280.8309099796531
DE,25.247191011235955,Germany,EU,357168,82114224,597.6353403205002
DK,32.4625,Denmark,EU,44493,5733551,210.93363885355035
EE,8.826923076923077,Estonia,EU,45339,1309632,212.9295658193103
ES,2.4935622317596566,Spain,EU,498468,46354321,706.022662525786
FI,13.436363636363636,Finland,EU,338145,5523231,581.5023645695691
FR,5.176470588235294,France,EU,551394,64979548,742.559088557941
GB,23.476190476190474,United Kingdom,EU,244820,66181585,494.79288596340996
GR,7.931914893617021,Greece,EU,131940,11159773,363.23546082396746
HR,6.954081632653061,Croatia,EU,56594,4189353,237.8949347926517
HU,19.403846153846153,Hungary,EU,93030,9721559,305.00819661117305
IE,10.4,Ireland,EU,70273,4761657,265.09055056716
IT,4.625925925925926,Italy,EU,301318,59359900,548.924402809713
LT,10.458333333333334,Lithuania,EU,65300,2890297,255.53864678361276
LU,18.897727272727273,Luxembourg,EU,2428,583455,49.27473997901968
MK,5.039408866995074,Macedonia,,25713,2083160,160.3527361787132
NL,44.02597402597402,Netherlands,EU,41198,17035938,202.97290459566273
NO,8.416666666666666,Norway,,385178,5305383,620.6271022119482
PL,21.376623376623378,Poland,EU,312685,38170712,559.1824389231122
RS,10.01015228426396,Serbia,,88361,8790574,297.25578211365377
SE,9.72072072072072,Sweden,EU,449964,9910701,670.7935598975291
SI,13.625698324022347,Slovenia,EU,20273,2079976,142.38328553590833
SK,24.226744186046513,Slovakia,EU,49036,5447662,221.44073699299324
UA,18.477386934673365,Ukraine,,603628,44222947,776.9350037165271
