taxonID,locality,countryCode,occurrenceStatus,threatStatus,source
butterflies-europe-checklist:taxon:eea749686fd1f784f6da17ee3b551368,France,FR,present,?,UICN France (2012)
butterflies-europe-checklist:taxon:eea749686fd1f784f6da17ee3b551368,Italy,IT,present,LC,Bonelli et al. (in press)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Andorra,AD,present,LC,Dantart & Jubany (2012)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Albania,AL,present,?,Anonymous (2013)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Austria,AT,present,LC,Zulka et al. 2003 |  Höttinger and Pennerstorfer (2005)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Bosnia and Herzegovina,BA,present,LC,Đug (2013)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Belgium,BE,present,LC,Fichefet et al. (2008) |  Maes et al. (2012)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Bulgaria,BG,present,LC,Hristova and Beshkov (2017)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Belarus,BY,present,?,Kulak & Yakovlev (2018)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Switzerland,CH,present,LC,Wermeille et al. (2014)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Czech Republic,CZ,present,NE,Beneš and Konvička (2017)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Germany,DE,present,LC,Reinhardt & Bolz (2011)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Denmark,DK,present,LC,Wind & Phil (2004)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Estonia,EE,present,LC,Anu Tiitsaar (pers.comm.)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Spain,ES,present,NE,Verdú & Galante (2009) |  Verdú et al. (2011)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Finland,FI,present,LC,Kaitila et al. (2010)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,France,FR,present,LC,UICN France (2012)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,United Kingdom,GB,present,LC,Fox et al. (2011)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Greece,GR,present,LC,Pamperis (2009) |  Legakis and Maragou (2009)
butterflies-europe-checklist:taxon:313b5c3d9d2b299ecb8018413ad136ba,Croatia,HR,present,LC,Šašić et al. (2015a)
