"taxonID","locality","countryCode","threatStatus","establishmentMeans","source"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Czech Republic","CZ","CR","Breeding","Beneš and Konvicka (2017)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Austria","AT","DD","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Romania","RO","EN","Breeding","Rakosy (2002)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Bulgaria","BG","LC","Breeding","Hristova and Beshkov (2017)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","France","FR","LC","Breeding","UICN France (2012)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Greece","GR","LC","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Croatia","HR","LC","Breeding","Šašic et al. (2015a)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Italy","IT","LC","Breeding","Bonelli et al. (in press)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Slovenia","SI","LC","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Spain","ES","NE","Breeding","Verdú & Galante (2009); Verdú et al. (2011)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Latvia","LV","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Montenegro","ME","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Russia","RU","No Red List available","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Switzerland","CH","NT","Breeding","Wermeille et al. (2014)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Hungary","HU","NT","Breeding","Ádám Korösi & Ádám Gór (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Macedonia","MK","Unknown","Breeding","Krpac & Darcemont (2011)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Bosnia and Herzegovina","BA","VU","Breeding","Ðug (2013)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Slovakia","SK","VU","Breeding","Hernik Kalivoda (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Ukraine","UA","VU","Breeding","Popov & Geryak (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Moldova","MD","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Albania","AL","Unknown","Breeding","Anonymous (2013)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Serbia","RS","LC","Breeding","Jakšic (2003); Popovic et al. (2017)"
"red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Andorra","AD","NT","Breeding","Dantart & Jubany (2012)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Denmark","DK","CR","Breeding","Wind & Phil (2004)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Luxembourg","LU","DD","Breeding","Mestdagh et al. (2018)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Austria","AT","EN","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Czech Republic","CZ","EN","Breeding","Beneš and Konvicka (2017)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Poland","PL","EN","Breeding","Glowaciñski (2002); Sielezniew (pers. Comm)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Sweden","SE","EN","Breeding","Ahrné et al. (2015)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Bosnia and Herzegovina","BA","LC","Breeding","Ðug (2013)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Bulgaria","BG","LC","Breeding","Hristova and Beshkov (2017)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","France","FR","LC","Breeding","UICN France (2012)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Greece","GR","LC","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Croatia","HR","LC","Breeding","Šašic et al. (2015a)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Hungary","HU","LC","Breeding","Ádám Korösi & Ádám Gór (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Italy","IT","LC","Breeding","Bonelli et al. (in press)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Romania","RO","LC","Breeding","Rakosy (2002)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Spain","ES","NE","Breeding","Verdú & Galante (2009); Verdú et al. (2011)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Moldova","MD","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Montenegro","ME","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Portugal","PT","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Russia","RU","No Red List available","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Switzerland","CH","NT","Breeding","Wermeille et al. (2014)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Ukraine","UA","NT","Breeding","Popov & Geryak (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Belgium","BE","RE","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Macedonia","MK","Unknown","Breeding","Krpac & Darcemont (2011)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Germany","DE","VU","Breeding","Reinhardt & Bolz (2011)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Slovenia","SI","VU","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Slovakia","SK","VU","Breeding","Hernik Kalivoda (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Serbia","RS","LC","Breeding","Jakšic (2003); Popovic et al. (2017)"
"red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Albania","AL","EN","Breeding","Anonymous (2013)"
"red-lists-european-butterflies-checklist:taxon:022bef15c52ace84a23ef10f087d68a0","Greece","GR","LC","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","Romania","RO","EN","Breeding","Rakosy (2002)"
"red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","Russia","RU","No Red List available","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","Greece","GR","NT","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","Macedonia","MK","VU","Breeding","Krpac & Darcemont (2011)"
"red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","Ukraine","UA","VU","Breeding","Popov & Geryak (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","Serbia","RS","DD","Breeding","Jakšic (2003); Popovic et al. (2017)"
"red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","Bulgaria","BG","CR","Breeding","Hristova and Beshkov (2017)"
"red-lists-european-butterflies-checklist:taxon:0235c8803f87b678d0e7fea75d9c74f7","Cyprus","CY","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Luxembourg","LU","CR","Breeding","Mestdagh et al. (2018)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Belgium","BE","EN","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Denmark","DK","EN","Breeding","Wind & Phil (2004)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Netherlands","NL","EN","Breeding","Bos et al. (2006)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Andorra","AD","LC","Breeding","Dantart & Jubany (2012)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Austria","AT","LC","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Bosnia and Herzegovina","BA","LC","Breeding","Ðug (2013)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Bulgaria","BG","LC","Breeding","Hristova and Beshkov (2017)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Switzerland","CH","LC","Breeding","Wermeille et al. (2014)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Estonia","EE","LC","Breeding","Anu Tiitsaar (pers.comm.)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","France","FR","LC","Breeding","UICN France (2012)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Greece","GR","LC","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Croatia","HR","LC","Breeding","Šašic et al. (2015a)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Hungary","HU","LC","Breeding","Ádám Korösi & Ádám Gór (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Italy","IT","LC","Breeding","Bonelli et al. (in press)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Lithuania","LT","LC","Breeding","Rašomavicius (2007)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Norway","NO","LC","Breeding","Henriksen & Hilmo (2015)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Poland","PL","LC","Breeding","Glowaciñski (2002); Sielezniew (pers. Comm)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Romania","RO","LC","Breeding","Rakosy (2002)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Serbia","RS","LC","Breeding","Jakšic (2003); Popovic et al. (2017)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Slovenia","SI","LC","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Slovakia","SK","LC","Breeding","Hernik Kalivoda (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Spain","ES","NE","Breeding","Verdú & Galante (2009); Verdú et al. (2011)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Liechtenstein","LI","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Latvia","LV","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Moldova","MD","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Montenegro","ME","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Portugal","PT","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Russia","RU","No Red List available","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","United Kingdom","GB","NT","Breeding","Fox et al. (2011)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Sweden","SE","NT","Breeding","Ahrné et al. (2015)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Ukraine","UA","NT","Breeding","Popov & Geryak (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Belarus","BY","Unknown","Breeding","Kulak & Yakovlev (2018)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Macedonia","MK","Unknown","Breeding","Krpac & Darcemont (2011)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Czech Republic","CZ","VU","Breeding","Beneš and Konvicka (2017)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Germany","DE","VU","Breeding","Reinhardt & Bolz (2011)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Finland","FI","VU","Breeding","Kaitila et al. (2010)"
"red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Albania","AL","Unknown","Breeding","Anonymous (2013)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Belarus","BY","Unknown","Breeding","Kulak & Yakovlev (2018)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Ukraine","UA","VU","Breeding","Popov & Geryak (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Switzerland","CH","CR","Breeding","Wermeille et al. (2014)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","France","FR","CR","Breeding","UICN France (2012)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Austria","AT","DD","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Germany","DE","EN","Breeding","Reinhardt & Bolz (2011)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Norway","NO","EN","Breeding","Henriksen & Hilmo (2015)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Poland","PL","EN","Breeding","Glowaciñski (2002); Sielezniew (pers. Comm)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Slovakia","SK","EN","Breeding","Hernik Kalivoda (pers. comm.)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Estonia","EE","LC","Breeding","Anu Tiitsaar (pers.comm.)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Latvia","LV","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Sweden","SE","NT","Breeding","Ahrné et al. (2015)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Belgium","BE","RE","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Czech Republic","CZ","RE","Breeding","Beneš and Konvicka (2017)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Denmark","DK","RE","Breeding","Wind & Phil (2004)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Netherlands","NL","RE","Breeding","Bos et al. (2006)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Lithuania","LT","EN","Breeding","Rašomavicius (2007)"
"red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Russia","RU","No Red List available","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Norway","NO","LC","Breeding","Henriksen & Hilmo (2015)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Russia","RU","No Red List available","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","France","FR","LC","Breeding","UICN France (2012)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Italy","IT","LC","Breeding","Bonelli et al. (in press)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Liechtenstein","LI","No Red List available","Breeding",
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Switzerland","CH","LC","Breeding","Wermeille et al. (2014)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Germany","DE","R","Breeding","Reinhardt & Bolz (2011)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Sweden","SE","LC","Breeding","Ahrné et al. (2015)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Austria","AT","NT","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Slovenia","SI","NT","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:04883a3b4208ba98739ebd45de2182c3","Greece","GR","LC","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","Bosnia and Herzegovina","BA","LC","Breeding","Ðug (2013)"
"red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","Belgium","BE","LC","Breeding","Fichefet et al. (2008); Maes et al. (2012)"
"red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","Bulgaria","BG","LC","Breeding","Hristova and Beshkov (2017)"
"red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","Switzerland","CH","LC","Breeding","Wermeille et al. (2014)"
