"language","license","rightsHolder","datasetID","accessRights","references","institutionCode","datasetName","taxonID","scientificName","kingdom","class","order","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Alois Pavlícko & Zdenek Faltýnek Fric (pers. comm)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","Cupido alcetas","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Aarvik et al. (2017)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","Pyrgus armoricanus","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Pamperis (2009)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:022bef15c52ace84a23ef10f087d68a0","Maniola chia","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Székely (2008); Dinca (2017)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","Pseudophilotes bavius","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","John and Skule (2016)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:0235c8803f87b678d0e7fea75d9c74f7","Hipparchia cypriensis","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Mestdagh et al. (2018)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","Hesperia comma","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Korb & Bolshakov (2016)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","Coenonympha hero","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Aarvik et al. (2017)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","Agriades orbitulus","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Pamperis (2009)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:04883a3b4208ba98739ebd45de2182c3","Coenonympha thyrsis","Animalia","Insecta","Lepidoptera","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","https://www.inbo.be/en/norms-data-use","Koren and Kulijer (2016); Lelo (2016)","INBO","National checklists and red lists for prioritising European butterfly conservation actions","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","Aricia agestis","Animalia","Insecta","Lepidoptera","species","ICZN"
