"scientificName","taxonID","countryCode","establishmentMeans","source"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","CZ","Breeding","Beneš and Konvicka (2017)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","AT","Breeding","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","RO","Breeding","Rakosy (2002)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","BG","Breeding","Hristova and Beshkov (2017)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","FR","Breeding","UICN France (2012)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","GR","Breeding","Pamperis (2009); Legakis and Maragou (2009)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","HR","Breeding","Šašic et al. (2015a)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","IT","Breeding","Bonelli et al. (in press)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","SI","Breeding","Anonymous (2002); Verovnik et al. (2012)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","ES","Breeding","Verdú & Galante (2009); Verdú et al. (2011)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","LV","Breeding",
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","ME","Breeding",
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","RU","Breeding","Iliashenko & Iliashenko (2000); Danilov-Danilian (2001)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","CH","Breeding","Wermeille et al. (2014)"
"Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","HU","Breeding","Ádám Korösi & Ádám Gór (pers. comm.)"
