"raw_speciesname_local","scientificName","taxonID","raw_use","references","raw_reference_red_list","raw_country","language","license","rightsHolder","datasetID","datasetName","nomenclaturalCode","kingdom","class","order"
"Cupido alcetas","Cupido alcetas","red-lists-european-butterflies-checklist:taxon:00b1b058c855594d51e6228e7294f1f5","y","Alois Pavlícko & Zdenek Faltýnek Fric (pers. comm)","Beneš and Konvicka (2017)","Czech Republic","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pyrgus armoricanus","Pyrgus armoricanus","red-lists-european-butterflies-checklist:taxon:01d0e63a335769975e4cb95a1ad2302e","y","Aarvik et al. (2017)","Wind & Phil (2004)","Denmark","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Maniola chia","Maniola chia","red-lists-european-butterflies-checklist:taxon:022bef15c52ace84a23ef10f087d68a0","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pseudophilotes bavius","Pseudophilotes bavius","red-lists-european-butterflies-checklist:taxon:022fa64e81828144746f4386c4ed4098","y","Székely (2008); Dinca (2017)","Rakosy (2002)","Romania","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Hipparchia cypriensis","Hipparchia cypriensis","red-lists-european-butterflies-checklist:taxon:0235c8803f87b678d0e7fea75d9c74f7","y","John and Skule (2016)",,"Cyprus","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Hesperia comma","Hesperia comma","red-lists-european-butterflies-checklist:taxon:032a87181ea4672d7fb1312b1a1f6aa2","y","Mestdagh et al. (2018)","Mestdagh et al. (2018)","Luxembourg","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Chortobius hero","Coenonympha hero","red-lists-european-butterflies-checklist:taxon:03dc6d6f3f08c9b0fad6860511acef6e","y","Korb & Bolshakov (2016)","Kulak & Yakovlev (2018)","Belarus","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Agriades orbitulus","Agriades orbitulus","red-lists-european-butterflies-checklist:taxon:047169688695b7c93c5dddc33442bda5","y","Aarvik et al. (2017)","Henriksen & Hilmo (2015)","Norway","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Coenonympha thyrsis","Coenonympha thyrsis","red-lists-european-butterflies-checklist:taxon:04883a3b4208ba98739ebd45de2182c3","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Aricia agestis","Aricia agestis","red-lists-european-butterflies-checklist:taxon:0540dcf40627e9dbdbdce9af5eb0f517","y","Koren and Kulijer (2016); Lelo (2016)","Ðug (2013)","Bosnia and Herzegovina","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Colias crocea","Colias crocea","red-lists-european-butterflies-checklist:taxon:0557f1f5c5bea5f62b851b2ac8297f82","y","Lafranchis et al. (2015)","UICN France (2012)","France","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Maniola telmessia","Maniola telmessia","red-lists-european-butterflies-checklist:taxon:06033c8510226ebdf92a841aa7ba1e83","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pyrgus serratulae","Pyrgus serratulae","red-lists-european-butterflies-checklist:taxon:062876ece9b5c7eb6c80733a2c00541d","y","Fichefet et al. (2008); Maes et al. (2012)","Fichefet et al. (2008); Maes et al. (2012)","Belgium","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Boloria napaea","Boloria napaea","red-lists-european-butterflies-checklist:taxon:068b8995df7414ae3ecc9a4a162fc43b","y","Sonderegger (2005); SwissLepTeam (2010); Wermeille et al. (2014)","Wermeille et al. (2014)","Switzerland","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pseudochazara mercurius","Pseudochazara williamsi","red-lists-european-butterflies-checklist:taxon:083fcea39eb6f194518b7e2566756ca7","y","Garcia-Barros et al. (2004); Monasterio León et al. (2017)","Verdú & Galante (2009); Verdú et al. (2011)","Spain","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erebia oeme","Erebia oeme","red-lists-european-butterflies-checklist:taxon:0849d8078a77b8302cabf73b5721f816","y","Székely (2008); Dinca (2017)","Rakosy (2002)","Romania","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Lysandra bellargus","Lysandra bellargus","red-lists-european-butterflies-checklist:taxon:084c6a6a78e2a6a4016ee1828dec21fa","y","Lafranchis et al. (2015)","UICN France (2012)","France","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Ypthima asterope","Ypthima asterope","red-lists-european-butterflies-checklist:taxon:093cd5b02b8ca9bb210727b5ea973c75","y","John and Skule (2016)",,"Cyprus","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erynnis marloyi","Erynnis marloyi","red-lists-european-butterflies-checklist:taxon:0980b134ea8f368f1061422c549985c5","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Zizeeria knysna","Zizeeria knysna","red-lists-european-butterflies-checklist:taxon:0cb85c6bba008904d664b00e5c8ecf3a","y","Garcia-Barros et al. (2004); Monasterio León et al. (2017)","Verdú & Galante (2009); Verdú et al. (2011)","Spain","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Hipparchia delattini","Hipparchia volgensis","red-lists-european-butterflies-checklist:taxon:0cbe45bf62f6aa11835a853db1966ddc","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Maculinea nausithous","Phengaris nausithous","red-lists-european-butterflies-checklist:taxon:0d18ff2eb0ebe7ff750fc02845bde960","y","Sonderegger (2005); SwissLepTeam (2010); Wermeille et al. (2014)","Wermeille et al. (2014)","Switzerland","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Hipparchia gomera","Hipparchia gomera","red-lists-european-butterflies-checklist:taxon:0db23bf9acfc59a3142da201fc047cd3","y","Tennent (2005); Báez and Oromí (2010); Wiemers (pers. comm.)",,"Macaronesia_CanaryIslands","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Colias aurorina","Colias aurorina","red-lists-european-butterflies-checklist:taxon:0e2e745c9aae9b58183697eac139b593","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Erebia pluto","Erebia pluto","red-lists-european-butterflies-checklist:taxon:0e5d405599069a626ea62a74aec32041","y","Huemer (2013); Huemer & Wiesmair (2017)","Zulka et al. 2003; Höttinger and Pennerstorfer (2005)","Austria","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Hipparchia wyssii","Hipparchia wyssii","red-lists-european-butterflies-checklist:taxon:0e7b2e86b38a10351706767e845ae1ea","y","Tennent (2005); Báez and Oromí (2010); Wiemers (pers. comm.)",,"Macaronesia_CanaryIslands","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pseudochazara euxina","Pseudochazara euxina","red-lists-european-butterflies-checklist:taxon:0ec17d04f44cff241e9a5e6e8b9181a1","y","Nekrutenko and Tshikolovets (2005); Korb and Bolshakov (2016)","Popov & Geryak (pers. comm.)","Ukraine","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Pieris brassicae","Pieris brassicae","red-lists-european-butterflies-checklist:taxon:0f7645f1b3de96777aa558246373a4d2","y","Šašic and Mihoci (2011); Šašic et al. (2015a)","Šašic et al. (2015a)","Croatia","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Lycaena thetis","Lycaena thetis","red-lists-european-butterflies-checklist:taxon:10662b3a93b6811636c9835db4e617f4","y","Pamperis (2009)","Pamperis (2009); Legakis and Maragou (2009)","Greece","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Zegris eupheme","Zegris eupheme","red-lists-european-butterflies-checklist:taxon:1076e6e7d15057279d7a1ac492bcbbae","y","Nekrutenko and Tshikolovets (2005); Korb and Bolshakov (2016)","Popov & Geryak (pers. comm.)","Ukraine","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
"Maniola jurtina","Maniola jurtina","red-lists-european-butterflies-checklist:taxon:10a6e59ec3e602af632c4e22eb9c70a4","y","Dantart & Jubany (2012)","Dantart & Jubany (2012)","Andorra","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","red-lists-european-butterflies-checklist","ICZN","Animalia","Insecta","Lepidoptera"
