"raw_speciesname_local","raw_speciesname_europe","taxonID","language","license","rightsHolder","datasetID","datasetName","nomenclaturalCode"
"Cupido alcetas","Cupido alcetas","species-lists-red-list-butterflies:taxon:00b1b058c855594d51e6228e7294f1f5","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Pyrgus armoricanus","Pyrgus armoricanus","species-lists-red-list-butterflies:taxon:01d0e63a335769975e4cb95a1ad2302e","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Maniola chia","Maniola chia","species-lists-red-list-butterflies:taxon:022bef15c52ace84a23ef10f087d68a0","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Pseudophilotes bavius","Pseudophilotes bavius","species-lists-red-list-butterflies:taxon:022fa64e81828144746f4386c4ed4098","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Hipparchia cypriensis","Hipparchia cypriensis","species-lists-red-list-butterflies:taxon:0235c8803f87b678d0e7fea75d9c74f7","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Hesperia comma","Hesperia comma","species-lists-red-list-butterflies:taxon:032a87181ea4672d7fb1312b1a1f6aa2","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Chortobius hero","Coenonympha hero","species-lists-red-list-butterflies:taxon:03dc6d6f3f08c9b0fad6860511acef6e","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Agriades orbitulus","Agriades orbitulus","species-lists-red-list-butterflies:taxon:047169688695b7c93c5dddc33442bda5","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Coenonympha thyrsis","Coenonympha thyrsis","species-lists-red-list-butterflies:taxon:04883a3b4208ba98739ebd45de2182c3","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Aricia agestis","Aricia agestis","species-lists-red-list-butterflies:taxon:0540dcf40627e9dbdbdce9af5eb0f517","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Colias crocea","Colias crocea","species-lists-red-list-butterflies:taxon:0557f1f5c5bea5f62b851b2ac8297f82","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
"Cacyreus marshalli","Cacyreus marshalli","species-lists-red-list-butterflies:taxon:05b365ff38f2b2c6af279dc1a5ab4150","en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","to_be_completed","Red Lists Butterflies Europe_EU","ICZN"
