country_code,mean_rlc,country_name,part_of_eu,area,population
AD,12.613333333333333,Andorra,,468,76965
AL,10.221153846153847,Albania,,28748,2930187
AT,20.564593301435405,Austria,y,83858,8735453
BA,11.824120603015075,Bosnia and Herzegovina,,51129,3507017
BE,35.80909090909091,Belgium,y,30528,11429336
BG,10.756880733944953,Bulgaria,y,110994,7084571
BY,10.072992700729927,Belarus,,207600,9468338
CH,19.17560975609756,Switzerland,,41290,8476005
CY,NaN,Cyprus,y,9251,1179551
CZ,51.45283018867924,Czech Republic,y,78866,10618303
DE,26.01086956521739,Germany,y,357168,82114224
DK,33.688311688311686,Denmark,y,44493,5733551
EE,NaN,Estonia,y,45339,1309632
ES,25.857142857142858,Spain,y,498468,46354321
FI,13.666666666666666,Finland,y,338145,5523231
FR,4.703007518796992,France,y,551394,64979548
GB,23.838709677419356,United Kingdom,y,244820,66181585
GR,7.592436974789916,Greece,y,131940,11159773
HR,7.040404040404041,Croatia,y,56594,4189353
HU,19.471337579617835,Hungary,y,93030,9721559
IE,10.676470588235293,Ireland,y,70273,4761657
IS,NaN,Iceland,,102775,335025
IT,4.996478873239437,Italy,y,301318,59359900
LI,NaN,Liechtenstein,,160,37922
LT,27.210526315789473,Lithuania,y,65300,2890297
LU,19.75,Luxembourg,y,2428,583455
LV,NaN,Latvia,y,64589,1949670
MD,NaN,Moldova,,33846,4051212
ME,NaN,Montenegro,,13812,628960
MK,5.257009345794392,North Macedonia,,25713,2083160
MT,NaN,Malta,y,316,430835
NL,49.763888888888886,Netherlands,y,41198,17035938
NO,8.574468085106384,Norway,,385178,5305383
PL,21.376623376623378,Poland,y,312685,38170712
PT,NaN,Portugal,y,91568,10329506
RO,22.628140703517587,Romania,y,238392,19679306
RS,8.52061855670103,Serbia,,88361,8790574
RU,NaN,Russia,,3972400,
SE,10.7,Sweden,y,449964,9910701
SI,12.722222222222221,Slovenia,y,20273,2079976
SK,22.25,Slovakia,y,49036,5447662
UA,NaN,Ukraine,,603628,44222947
