raw_speciesname_europe,fit.x,NCountries,nCountriesRLEur,RedListCategoryEurope,EuropeanEndemic,Endemic,EdgeOfRange,fit.y,nCountriesRLEU,NCountriesEU,RedListCategoryEU,HabitatsDirective
Oeneis tarpeia,100,2,2,LC,0,0,0,0,0,0,NE,0
Coenonympha phryne,80,2,2,CR,0,0,0,0,0,0,NE,0
Turanana taygetica,80,1,1,EN,0,0,EoR,80,1,1,EN,0
Colias myrmidone,76.87,14,14,EN,0,0,0,80,10,10,CR,II+IV
Pseudochazara orestes,64.35,2,2,VU,EuropeanEndemic,0,0,65,2,2,VU,0
Colias chrysotheme,62.42,8,8,VU,0,0,0,68,5,5,VU,0
Coenonympha oedippus,52.11,15,15,EN,0,0,0,60.46,10,10,LC,II+IV
Tomares callimachus,50,2,2,LC,0,0,EoR,0,0,0,NE,0
Tomares nogelii,50,3,3,VU,0,0,EoR,50,1,1,RE,0
Agriades zullichi,50,1,1,EN,EuropeanEndemic,Spain,0,50,1,1,EN,0
Hipparchia sbordonii,50,1,1,NT,EuropeanEndemic,Italy - Ponza Islands,0,50,1,1,NT,0
Kretania eurypilus,50,2,2,NtA,0,0,EoR,50,1,1,NtA,0
Maniola megala,50,1,1,NtA,0,0,EoR,50,1,1,NtA,0
Pelopidas thrax,50,2,2,NtA,0,0,EoR,50,2,2,NtA,0
Polyommatus golgus,50,1,1,VU,EuropeanEndemic,Spain,0,50,1,1,VU,II+IV
Polyommatus humedasae,50,1,1,EN,EuropeanEndemic,Italy,0,50,1,1,EN,0
Polyommatus iphigenia,50,1,1,NtA,0,0,EoR,50,1,1,NtA,0
Satyrium ledereri,50,1,1,NtA,0,0,EoR,50,1,1,NtA,0
Coenonympha hero,48.34,18,18,VU,0,0,0,53.94,13,13,VU,IV
Lycaena helle,48.21,22,22,EN,0,0,0,50.53,15,15,LC,II+IV
Nymphalis vaualbum,45.84,13,13,LC,0,0,0,54.3,9,9,VU,II+IV
