"raw_country_code","RLCNum","Country","EU","Area","Npeople"
"AD",12.9315068493151,"Andorra",,468,76965
"AL",10.3560975609756,"Albania",,28748,2930187
"AT",20.9463414634146,"Austria","EU",83858,8735453
"BA",11.6546391752577,"Bosnia and Herzegovina",,51129,3507017
"BE",35.1875,"Belgium","EU",30528,11429336
"BG",10.3518518518519,"Bulgaria","EU",110994,7084571
"BY",10.3458646616541,"Belarus",,207600,9468338
"CH",19.1756097560976,"Switzerland",,41290,8476005
"CY",,"Cyprus","EU",9251,1179551
"CZ",33.8481012658228,"Czech Republic","EU",78866,10618303
"DE",25.878453038674,"Germany","EU",357168,82114224
"DK",32.8607594936709,"Denmark","EU",44493,5733551
"EE",8.82692307692308,"Estonia","EU",45339,1309632
"ES",2.50649350649351,"Spain","EU",498468,46354321
"FI",13.4363636363636,"Finland","EU",338145,5523231
"FR",5.16015625,"France","EU",551394,64979548
"GB",23.4761904761905,"United Kingdom","EU",244820,66181585
"GR",8.58823529411765,"Greece","EU",131940,11159773
"HR",7.10204081632653,"Croatia","EU",56594,4189353
"HU",19.4713375796178,"Hungary","EU",93030,9721559
"IE",10.4,"Ireland","EU",70273,4761657
"IT",5.12727272727273,"Italy","EU",301318,59359900
"LI",,"Liechtenstein",,160,37922
"LT",10.3801652892562,"Lithuania","EU",65300,2890297
"LU",18.6966292134831,"Luxembourg","EU",2428,583455
"LV",,"Latvia","EU",64589,1949670
"MA_AZ",,,,,
"MA_CA",,,,,
"MA_MA",,,,,
"MD",,"Moldova",,33846,4051212
"ME",,"Montenegro",,13812,628960
"MK",5.03940886699507,"Macedonia",,25713,2083160
"MT",,"Malta","EU",316,430835
"NL",45.8947368421053,"Netherlands","EU",41198,17035938
"NO",8.41666666666667,"Norway",,385178,5305383
"PL",21.3766233766234,"Poland","EU",312685,38170712
"PT",,"Portugal","EU",91568,10329506
"RO",,"Romania","EU",238392,19679306
"RS",10.6666666666667,"Serbia",,88361,8790574
"RU",,"Russia",,3972400,
"SE",9.72072072072072,"Sweden","EU",449964,9910701
"SI",13.6966292134831,"Slovenia","EU",20273,2079976
"SK",24.2601156069364,"Slovakia","EU",49036,5447662
"UA",18.4773869346734,"Ukraine",,603628,44222947
