"SpeciesnameEurope","Family","Subfamily","PhylogeneticOrder","AuthorYear","Genus","Species","EnglishName","RedListCategoryEurope","RedListCategoryEU","HabitatsDirective","SPECstatus","EuropeanEndemic","EUEndemic","Endemic","EdgeOfRange","Comments"
"Aglais ichnusa","Nymphalidae","Nymphalinae",298,"(Hübner, 1824)","Aglais","ichnusa","Corsican Small Tortoiseshell","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Aglais io","Nymphalidae","Nymphalinae",296,"(Linnaeus, 1758)","Aglais","io","Peacock","LC","LC",,,,,,,
"Aglais urticae","Nymphalidae","Nymphalinae",297,"(Linnaeus, 1758)","Aglais","urticae","Small Tortoiseshell","LC","LC",,,,,,,
"Agriades aquilo","Lycaenidae","Polyommatinae",201,"(Boisduval, 1832)","Agriades","aquilo","Arctic Blue","LC","LC","II",,,,,,
"Agriades dardanus","Lycaenidae","Polyommatinae",198,"(Freyer, 1843)","Agriades","dardanus","Bosnian Blue","NT","NT",,"SPEC2",,,,,
"Agriades glandon","Lycaenidae","Polyommatinae",200,"(de Prunner, 1798)","Agriades","glandon","Glandon Blue","LC","LC",,,"EuropeanEndemic",,,,
"Agriades optilete","Lycaenidae","Polyommatinae",196,"(Knoch, 1781)","Agriades","optilete","Cranberry Blue","LC","LC",,,,,,,
"Agriades orbitulus","Lycaenidae","Polyommatinae",195,"(de Prunner, 1798)","Agriades","orbitulus","Alpine Blue","LC","LC",,,,,,,
"Agriades pyrenaicus","Lycaenidae","Polyommatinae",197,"(Boisduval, 1840)","Agriades","pyrenaicus","Gavarnie Blue","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Agriades zullichi","Lycaenidae","Polyommatinae",199,"Hemming, 1933","Agriades","zullichi","Zullich's Blue","EN","EN",,"SPEC1","EuropeanEndemic","EUEndemic","Spain",,
"Anthocharis cardamines","Pieridae","Pierinae",117,"(Linnaeus, 1758)","Anthocharis","cardamines","Orange-tip","LC","LC",,,,,,,
"Anthocharis damone","Pieridae","Pierinae",119,"Boisduval, 1836","Anthocharis","damone","Eastern Orange-tip","LC","LC",,,,,,,
"Anthocharis euphenoides","Pieridae","Pierinae",116,"Staudinger, 1869","Anthocharis","euphenoides","Provence Orange-tip","LC","LC",,,"EuropeanEndemic",,,,
"Anthocharis gruneri","Pieridae","Pierinae",118,"Herrich-Schäffer, 1851","Anthocharis","gruneri","Grüner's Orange-tip","LC","LC",,,,,,,
"Apatura ilia","Nymphalidae","Apaturinae",290,"([Denis & Schiffermüller], 1775)","Apatura","ilia","Lesser Purple Emperor","LC","LC",,,,,,,
"Apatura iris","Nymphalidae","Apaturinae",288,"(Linnaeus, 1758)","Apatura","iris","Purple Emperor","LC","LC",,,,,,,
"Apatura metis","Nymphalidae","Apaturinae",289,"Freyer, 1829","Apatura","metis","Freyer's Purple Emperor","LC","LC","IV",,,,,,
"Aphantopus hyperantus","Nymphalidae","Satyrinae",430,"(Linnaeus, 1758)","Aphantopus","hyperantus","Ringlet","LC","LC",,,,,,,
"Aporia crataegi","Pieridae","Pierinae",87,"(Linnaeus, 1758)","Aporia","crataegi","Black-veined White","LC","LC",,,,,,,
"Araschnia levana","Nymphalidae","Nymphalinae",291,"(Linnaeus, 1758)","Araschnia","levana","Map","LC","LC",,,,,,,
"Archon apollinus","Papilionidae","Parnassiinae",9,"(Herbst, 1798)","Archon","apollinus","False Apollo","NT","LC",,"SPEC2",,,,,
"Arethusana arethusa","Nymphalidae","Satyrinae",397,"([Denis & Schiffermüller], 1775)","Arethusana","arethusa","False Grayling","LC","LC",,,,,,,
"Argynnis laodice","Nymphalidae","Heliconiinae",263,"(Pallas, 1771)","Argynnis","laodice","Pallas' Fritillary","LC","NT",,,,,,,
"Argynnis pandora","Nymphalidae","Heliconiinae",262,"([Denis & Schiffermüller], 1775)","Argynnis","pandora","Cardinal","LC","LC",,,,,,,
"Argynnis paphia","Nymphalidae","Heliconiinae",261,"(Linnaeus, 1758)","Argynnis","paphia","Silver-washed Fritillary","LC","LC",,,,,,,
"Aricia agestis","Lycaenidae","Polyommatinae",218,"([Denis & Schiffermüller], 1775)","Aricia","agestis","Brown Argus","LC","LC",,,,,,,
"Aricia anteros","Lycaenidae","Polyommatinae",213,"(Freyer, 1838)","Aricia","anteros","Blue Argus","NT","LC",,"SPEC2",,,,,
"Aricia artaxerxes","Lycaenidae","Polyommatinae",216,"(Fabricius, 1793)","Aricia","artaxerxes","Northern Brown Argus","LC","LC",,,,,,,
"Aricia cramera","Lycaenidae","Polyommatinae",214,"(Eschscholtz, 1821)","Aricia","cramera","Southern Brown Argus","LC","LC",,,,,,,
"Aricia montensis","Lycaenidae","Polyommatinae",217,"Verity, 1928","Aricia","montensis","Southern Mountain Argus","LC","LC",,,,,,,
"Aricia morronensis","Lycaenidae","Polyommatinae",212,"(Ribbe, 1910)","Aricia","morronensis","Spanish Argus","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Aricia nicias","Lycaenidae","Polyommatinae",215,"(Meigen, 1829)","Aricia","nicias","Silvery Argus","LC","LC",,,,,,,
"Azanus jesous","Lycaenidae","Polyommatinae",156,"(Guérin-Méneville, 1849)","Azanus","jesous","African Babul Blue",,,,,,,,"EoR",
"Azanus ubaldus","Lycaenidae","Polyommatinae",155,"(Stoll, 1782)","Azanus","ubaldus","Bright Babul Blue","NtA","NtA",,,,,,"EoR",
"Boloria alaskensis","Nymphalidae","Heliconiinae",271,"(Holland, 1900)","Boloria","alaskensis","suggestion: Alaskan Fritillary","NtA","NtA",,,,,,"EoR",
"Boloria angarensis","Nymphalidae","Heliconiinae",287,"(Erschoff, 1870)","Boloria","angarensis","suggestion: XX Fritillary","NtA","NtA",,,,,,,
"Boloria aquilonaris","Nymphalidae","Heliconiinae",273,"(Stichel, 1908)","Boloria","aquilonaris","Cranberry Fritillary","LC","LC",,,,,,,
"Boloria chariclea","Nymphalidae","Heliconiinae",286,"(Schneider, 1794)","Boloria","chariclea","Arctic Fritillary","NT","NT",,"SPEC2",,,,,
"Boloria dia","Nymphalidae","Heliconiinae",279,"(Linnaeus, 1767)","Boloria","dia","Weaver's Fritillary","LC","LC",,,,,,,
"Boloria eunomia","Nymphalidae","Heliconiinae",268,"(Esper, 1800)","Boloria","eunomia","Bog Fritillary","LC","LC",,,,,,,
"Boloria euphrosyne","Nymphalidae","Heliconiinae",278,"(Linnaeus, 1758)","Boloria","euphrosyne","Pearl-bordered Fritillary","LC","LC",,,,,,,
"Boloria freija","Nymphalidae","Heliconiinae",282,"(Thunberg, 1791)","Boloria","freija","Freiya's Fritillary","LC","LC",,"SPEC3",,,,,
"Boloria frigga","Nymphalidae","Heliconiinae",281,"(Thunberg, 1791)","Boloria","frigga","Frigga's Fritillary","LC","LC",,"SPEC4",,,,,
"Boloria graeca","Nymphalidae","Heliconiinae",269,"(Staudinger, 1870)","Boloria","graeca","Balkan Fritillary","LC","LC",,,,,,,
"Boloria improba","Nymphalidae","Heliconiinae",280,"(Butler, 1877)","Boloria","improba","Dusky-winged Fritillary","EN","EN","II","SPEC1",,,,,
"Boloria napaea","Nymphalidae","Heliconiinae",272,"(Hoffmansegg, 1804)","Boloria","napaea","Mountain Fritillary","LC","LC",,,,,,,
"Boloria oscarus","Nymphalidae","Heliconiinae",284,"(Eversmann, 1844)","Boloria","oscarus","suggestion: Oscar's Fritillary","NtA","NtA",,,,,,"EoR",
"Boloria pales","Nymphalidae","Heliconiinae",270,"([Denis & Schiffermüller], 1775)","Boloria","pales","Shepherd's Fritillary","LC","LC",,,,,,,
"Boloria polaris","Nymphalidae","Heliconiinae",275,"(Boisduval, 1828)","Boloria","polaris","Polar Fritillary","VU","VU",,"SPEC1",,,,,
"Boloria selene","Nymphalidae","Heliconiinae",277,"([Denis & Schiffermüller], 1775)","Boloria","selene","Small Pearl-bordered Fritillary","LC","LC",,,,,,,
"Boloria selenis","Nymphalidae","Heliconiinae",283,"(Eversmann, 1837)","Boloria","selenis","suggestion: XX Fritillary","LC","NE",,,,,,,
"Boloria thore","Nymphalidae","Heliconiinae",276,"(Hübner, 1804)","Boloria","thore","Thor's Fritillary","LC","LC",,,,,,,
"Boloria titania","Nymphalidae","Heliconiinae",285,"(Esper, 1793)","Boloria","titania","Titania's Fritillary","NT","LC",,"SPEC2",,,,,
"Boloria tritonia","Nymphalidae","Heliconiinae",274,"(Böber, 1812)","Boloria","tritonia","suggestion: XX Fritillary","NtA","NtA",,,,,,"EoR",
"Borbo borbonica","Hesperiidae","Hesperiinae",20,"(Boisduval, 1833)","Borbo","borbonica","Zeller's Skipper","NtA","NtA",,,,,,,
"Brenthis daphne","Nymphalidae","Heliconiinae",260,"(Bergsträsser, 1780)","Brenthis","daphne","Marbled Fritillary","LC","LC",,,,,,,
"Brenthis hecate","Nymphalidae","Heliconiinae",258,"([Denis & Schiffermüller], 1775)","Brenthis","hecate","Twin-spot Fritillary","LC","LC",,,,,,,
"Brenthis ino","Nymphalidae","Heliconiinae",259,"(Rottemburg, 1775)","Brenthis","ino","Lesser Marbled Fritillary","LC","LC",,,,,,,
"Brintesia circe","Nymphalidae","Satyrinae",396,"(Fabricius, 1775)","Brintesia","circe","Great Banded Grayling","LC","LC",,,,,,,
"Cacyreus marshalli","Lycaenidae","Polyommatinae",158,"Butler, 1898","Cacyreus","marshalli","Geranium Bronze","NtA","NtA",,,,,,,
"Callophrys avis","Lycaenidae","Theclinae",141,"Chapman, 1909","Callophrys","avis","Chapman's Green Hairstreak","LC","LC",,,,,,,
"Callophrys chalybeitincta","Lycaenidae","Theclinae",144,"Sovinsky, 1905","Callophrys","chalybeitincta","Sovinsky's Green Hairstreak","NtA","NtA",,,,,,"EoR",
"Callophrys rubi","Lycaenidae","Theclinae",143,"(Linnaeus, 1758)","Callophrys","rubi","Green Hairstreak","LC","LC",,,,,,,
"Callophrys suaveola","Lycaenidae","Theclinae",142,"(Staudinger, 1881)","Callophrys","suaveola","Alpine Green Hairstreak","NtA","NtA",,,,,,"EoR",
"Carcharodus alceae","Hesperiidae","Pyrginae",36,"(Esper, 1780)","Carcharodus","alceae","Mallow Skipper","LC","LC",,,,,,,
"Carcharodus baeticus","Hesperiidae","Pyrginae",44,"(Rambur, 1839)","Carcharodus","baeticus","Southern Marbled Skipper","LC","LC",,,"EuropeanEndemic",,,,
"Carcharodus floccifera","Hesperiidae","Pyrginae",42,"(Zeller, 1847)","Carcharodus","floccifera","Tufted Marbled Skipper","NT","LC",,"SPEC2",,,,,
"Carcharodus lavatherae","Hesperiidae","Pyrginae",40,"(Esper, 1783)","Carcharodus","lavatherae","Marbled Skipper","NT","NT",,"SPEC2",,,,,
"Carcharodus orientalis","Hesperiidae","Pyrginae",41,"Reverdin, 1913","Carcharodus","orientalis","Oriental Marbled Skipper","LC","LC",,,,,,,
"Carcharodus stauderi","Hesperiidae","Pyrginae",43,"Reverdin, 1913","Carcharodus","stauderi","False Marbled Skipper","NtA","NtA",,,,,,"EoR",
"Carcharodus tripolinus","Hesperiidae","Pyrginae",35,"(Verity, 1925)","Carcharodus","tripolinus","False Mallow Skipper","LC","LC",,,,,,,
"Carterocephalus palaemon","Hesperiidae","Heteropterinae",18,"(Pallas, 1771)","Carterocephalus","palaemon","Chequered Skipper","LC","LC",,,,,,,
"Carterocephalus silvicola","Hesperiidae","Heteropterinae",17,"(Meigen, 1829)","Carterocephalus","silvicola","Northern Chequered Skipper","LC","LC",,,,,,,
"Catopsilia florella","Pieridae","Coliadinae",73,"(Fabricius, 1775)","Catopsilia","florella","African Migrant","NtA","NtA",,,,,,"EoR",
"Celastrina argiolus","Lycaenidae","Polyommatinae",159,"(Linnaeus, 1758)","Celastrina","argiolus","Holly Blue","LC","LC",,,,,,,
"Charaxes jasius","Nymphalidae","Charaxinae",331,"(Linnaeus, 1767)","Charaxes","jasius","Two-tailed Pasha","LC","LC",,,,,,,
"Chazara briseis","Nymphalidae","Satyrinae",410,"(Linnaeus, 1764)","Chazara","briseis","The Hermit","NT","NT",,"SPEC2",,,,,
"Chazara persephone","Nymphalidae","Satyrinae",412,"(Hübner, 1805)","Chazara","persephone","Great Steppe Grayling","LC","NE",,,,,,,
"Chazara prieuri","Nymphalidae","Satyrinae",411,"(Pierret, 1837)","Chazara","prieuri","Southern Hermit","LC","LC",,,,,,,
"Cigaritis acamas","Lycaenidae","Aphnaeinae",134,"(Klug, 1834)","Cigaritis","acamas","Levantine Leopard","NtA","NtA",,,,,,"EoR",
"Coenonympha amaryllis","Nymphalidae","Satyrinae",339,"(Stoll, 1782)","Coenonympha","amaryllis","suggestion: Stoll's Heath","NtA","NtA",,,,,,"EoR",
"Coenonympha arcania","Nymphalidae","Satyrinae",346,"(Linnaeus, 1760)","Coenonympha","arcania","Pearly Heath","LC","LC",,,,,,,
"Coenonympha corinna","Nymphalidae","Satyrinae",341,"(Hübner, 1804)","Coenonympha","corinna","Corsican Heath","LC","LC",,,"EuropeanEndemic","EUEndemic",,,
"Coenonympha dorus","Nymphalidae","Satyrinae",334,"(Esper, 1782)","Coenonympha","dorus","Dusky Heath","LC","LC",,,,,,,
"Coenonympha gardetta","Nymphalidae","Satyrinae",344,"(de Prunner, 1798)","Coenonympha","gardetta","Alpine Heath","LC","LC",,,"EuropeanEndemic",,,,
"Coenonympha glycerion","Nymphalidae","Satyrinae",340,"(Borkhausen, 1788)","Coenonympha","glycerion","Chestnut Heath","LC","LC",,,,,,,
"Coenonympha hero","Nymphalidae","Satyrinae",343,"(Linnaeus, 1760)","Coenonympha","hero","Scarce Heath","VU","VU","IV","SPEC1",,,,,
"Coenonympha leander","Nymphalidae","Satyrinae",342,"(Esper, 1784)","Coenonympha","leander","Russian Heath","LC","LC",,,,,,,
"Coenonympha oedippus","Nymphalidae","Satyrinae",333,"(Fabricius, 1787)","Coenonympha","oedippus","False Ringlet","EN","LC","II+IV","SPEC1",,,,,
"Coenonympha orientalis","Nymphalidae","Satyrinae",345,"Rebel, 1909","Coenonympha","orientalis","Balkan Heath","VU","DD",,"SPEC1","EuropeanEndemic",,,,
"Coenonympha pamphilus","Nymphalidae","Satyrinae",336,"(Linnaeus, 1758)","Coenonympha","pamphilus","Small Heath","LC","LC",,,,,,,
"Coenonympha phryne","Nymphalidae","Satyrinae",332,"(Pallas, 1771)","Coenonympha","phryne","Siberian Brown","CR","NE",,"SPEC1",,,,,
"Coenonympha rhodopensis","Nymphalidae","Satyrinae",338,"Elwes, 1900","Coenonympha","rhodopensis","Eastern Large Heath","LC","LC",,,"EuropeanEndemic",,,,
"Coenonympha thyrsis","Nymphalidae","Satyrinae",335,"(Freyer, 1845)","Coenonympha","thyrsis","Cretan Small Heath","LC","LC",,,"EuropeanEndemic","EUEndemic","Greece",,
"Coenonympha tullia","Nymphalidae","Satyrinae",337,"(Müller, 1764)","Coenonympha","tullia","Large Heath","VU","NT",,"SPEC1",,,,,
"Colias alfacariensis","Pieridae","Coliadinae",75,"Ribbe, 1905","Colias","alfacariensis","Berger's Clouded Yellow","LC","LC",,,,,,,
"Colias aurorina","Pieridae","Coliadinae",77,"Herrich-Schäffer, 1850","Colias","aurorina","Greek Clouded Yellow","LC","LC",,,,,,,
"Colias caucasica","Pieridae","Coliadinae",82,"Staudinger, 1871","Colias","caucasica","Balkan Clouded Yellow","LC","LC",,,,,,,
"Colias chrysotheme","Pieridae","Coliadinae",78,"(Esper, 1781)","Colias","chrysotheme","Lesser Clouded Yellow","VU","VU",,"SPEC1",,,,,
"Colias crocea","Pieridae","Coliadinae",80,"(Geoffroy, 1785)","Colias","crocea","Clouded Yellow","LC","LC",,,,,,,
"Colias erate","Pieridae","Coliadinae",79,"(Esper, 1805)","Colias","erate","Eastern Pale Clouded Yellow","LC","LC",,,,,,,
"Colias hecla","Pieridae","Coliadinae",85,"Lefèbvre, 1836","Colias","hecla","Northern Clouded Yellow","NT","NT",,"SPEC2",,,,,
"Colias hyale","Pieridae","Coliadinae",74,"(Linnaeus, 1758)","Colias","hyale","Pale Clouded Yellow","LC","LC",,,,,,,
"Colias myrmidone","Pieridae","Coliadinae",81,"(Esper, 1781)","Colias","myrmidone","Danube Clouded Yellow","EN","CR","II+IV","SPEC1",,,,,
"Colias palaeno","Pieridae","Coliadinae",83,"(Linnaeus, 1760)","Colias","palaeno","Moorland Clouded Yellow","LC","LC",,"SPEC4",,,,,
"Colias phicomone","Pieridae","Coliadinae",76,"(Esper, 1780)","Colias","phicomone","Mountain Clouded Yellow","NT","NT",,"SPEC2","EuropeanEndemic",,,,
"Colias tyche","Pieridae","Coliadinae",84,"(Böber, 1812)","Colias","tyche","Pale Arctic Clouded Yellow","LC","LC",,"SPEC3",,,,,
"Colotis evagore","Pieridae","Pierinae",86,"(Klug, 1829)","Colotis","evagore","Desert Orange-tip","NtA","NtA",,,,,,,
"Cupido alcetas","Lycaenidae","Polyommatinae",185,"(Hoffmansegg, 1804)","Cupido","alcetas","Provençal Short-tailed Blue","LC","LC",,,,,,,
"Cupido argiades","Lycaenidae","Polyommatinae",182,"(Pallas, 1771)","Cupido","argiades","Short-tailed Blue","LC","LC",,,,,,,
"Cupido decoloratus","Lycaenidae","Polyommatinae",184,"(Staudinger, 1886)","Cupido","decoloratus","Eastern Short-tailed Blue","NT","LC",,"SPEC2",,,,,
"Cupido lorquinii","Lycaenidae","Polyommatinae",188,"(Herrich-Schäffer, 1850)","Cupido","lorquinii","Lorquin's Blue","LC","LC",,,,,,,
"Cupido minimus","Lycaenidae","Polyommatinae",187,"(Fuessly, 1775)","Cupido","minimus","Little Blue","LC","LC",,,,,,,
"Cupido osiris","Lycaenidae","Polyommatinae",186,"(Meigen, 1829)","Cupido","osiris","Osiris Blue","LC","LC",,,,,,,
"Cyaniris semiargus","Lycaenidae","Polyommatinae",210,"(Rottemburg, 1775)","Cyaniris","semiargus","Mazarine Blue","LC","LC",,,,,,,
"Cyclyrius webbianus","Lycaenidae","Polyommatinae",154,"(Brullé, 1839)","Cyclyrius","webbianus","Canary Blue","LC","LC",,,"EuropeanEndemic","EUEndemic","Canary Islands",,
"Danaus chrysippus","Nymphalidae","Danainae",330,"(Linnaeus, 1758)","Danaus","chrysippus","Plain Tiger","NtA","NtA",,,,,,"EoR",
