SpeciesnameEurope,SpeciesnameLocal,CountryCode,RedListCategory,Status
Aglais ichnusa,Aglais urticae ichnusa,FR,Unknown,P
Aglais ichnusa,Aglais ichnusa,IT,LC,P
Aglais io,Inachis io,AD,LC,P
Aglais io,Aglais io,AL,Unknown,P
Aglais io,Inachis io,AT,LC,P
Aglais io,Aglais io,BA,LC,P
Aglais io,Aglais io,BE,LC,P
Aglais io,Aglais io,BG,LC,P
Aglais io,Inachis io,BY,Unknown,P
Aglais io,Inachis io,CH,LC,P
Aglais io,Aglais io,CZ,NE,P
Aglais io,Inachis io,DE,LC,P
Aglais io,Aglais io,DK,LC,P
Aglais io,Inachis io,EE,LC,P
Aglais io,Aglais io,ES,NE,P
Aglais io,Aglais io,FI,LC,P
Aglais io,Inachis io,FR,LC,P
Aglais io,Inachis io,GB,LC,P
Aglais io,Inachis io,GR,LC,P
Aglais io,Aglais io,HR,LC,P
Aglais io,Nymphalis io,HU,LC,P
Aglais io,Aglais io,IE,LC,P
Aglais io,Inachis io,IT,LC,P
Aglais io,Inachis io,LI,No Red List available,P
Aglais io,Inachis io,LT,LC,P
Aglais io,Inachis io,LU,NT,P
Aglais io,Aglais io,LV,No Red List available,P
Aglais io,Inachis io,MD,No Red List available,P
Aglais io,Aglais io,ME,No Red List available,P
Aglais io,Aglais io,MK,Unknown,P
Aglais io,Aglais io,NL,LC,P
Aglais io,Aglais io,NO,LC,P
Aglais io,Aglais io,PL,LC,P
Aglais io,Aglais io,PT,No Red List available,P
Aglais io,Aglais io,RO,LC,P
Aglais io,Aglais io,RS,LC,P
Aglais io,Aglais io,RU,No Red List available,P
Aglais io,Aglais io,SE,LC,P
Aglais io,Aglais io,SI,LC,P
Aglais io,Aglais io,SK,LC,P
Aglais io,Inachis io,UA,LC,P
Aglais urticae,Aglais urticae,AD,LC,P
Aglais urticae,Aglais urticae,AL,Unknown,P
Aglais urticae,Aglais urticae,AT,LC,P
Aglais urticae,Aglais urticae,BA,LC,P
Aglais urticae,Aglais urticae,BE,LC,P
Aglais urticae,Aglais urticae,BG,LC,P
Aglais urticae,Aglais urticae,BY,Unknown,P
Aglais urticae,Aglais urticae,CH,LC,P
Aglais urticae,Aglais urticae,CZ,NE,P
Aglais urticae,Aglais urticae,DE,LC,P
Aglais urticae,Aglais urticae,DK,LC,P
Aglais urticae,Aglais urticae,EE,LC,P
Aglais urticae,Aglais urticae,ES,NE,P
Aglais urticae,Aglais urticae,FI,LC,P
Aglais urticae,Aglais urticae,FR,LC,P
Aglais urticae,Aglais urticae,GB,LC,P
Aglais urticae,Aglais urticae,GR,LC,P
Aglais urticae,Aglais urticae,HR,LC,P
Aglais urticae,Aglais urticae,HU,LC,P
Aglais urticae,Aglais urticae,IE,LC,P
Aglais urticae,Aglais urticae,IT,LC,P
Aglais urticae,Aglais urticae,LI,No Red List available,P
Aglais urticae,Aglais urticae,LT,LC,P
Aglais urticae,Aglais urticae,LU,LC,P
Aglais urticae,Aglais urticae,LV,No Red List available,P
Aglais urticae,Aglais urticae,MD,No Red List available,P
Aglais urticae,Aglais urticae,ME,No Red List available,P
Aglais urticae,Aglais urticae,MK,Unknown,P
Aglais urticae,Aglais urticae,NL,LC,P
Aglais urticae,Aglais urticae,NO,LC,P
Aglais urticae,Aglais urticae,PL,LC,P
Aglais urticae,Aglais urticae,PT,No Red List available,P
Aglais urticae,Aglais urticae,RO,LC,P
Aglais urticae,Aglais urticae,RS,LC,P
Aglais urticae,Aglais urticae,RU,No Red List available,P
Aglais urticae,Aglais urticae,SE,LC,P
Aglais urticae,Aglais urticae,SI,LC,P
Aglais urticae,Aglais urticae,SK,LC,P
Aglais urticae,Aglais urticae,UA,LC,P
Agriades aquilo,Plebejus aquilo,FI,EN,P
Agriades aquilo,Agriades aquilo,NO,LC,P
Agriades aquilo,Agriades aquilo,RU,No Red List available,P
Agriades aquilo,Plebejus aquilo,SE,NT,P
Agriades dardanus,Plebejus dardanus,BA,VU,P
Agriades dardanus,Plebejus dardanus,BG,EN,P
Agriades dardanus,Plebejus pyrenaicus,GR,EN,P
Agriades dardanus,Plebejus dardanus,RU,No Red List available,P
Agriades dardanus,Plebejus dardanus,UA,VU,P
Agriades glandon,Plebejus glandon,AD,NT,P
Agriades glandon,Plebejus glandon,AT,NT,P
Agriades glandon,Plebeius glandon,CH,LC,P
Agriades glandon,Plebeius glandon,DE,R,P
Agriades glandon,Agriades glandon,ES,NE,P
Agriades glandon,Agriades glandon,FR,LC,P
Agriades glandon,Agriades glandon,IT,LC,P
Agriades glandon,Agriades glandon,LI,No Red List available,P
Agriades optilete,Plebejus optilete,AT,VU,P
Agriades optilete,Agriades optilete,BY,Unknown,P
Agriades optilete,Plebeius optilete,CH,LC,P
Agriades optilete,Vacciniina optilete,CZ,VU,P
Agriades optilete,Plebeius optilete,DE,EN,P
Agriades optilete,Plebejus optilete,DK,NT,P
Agriades optilete,Vacciniina optilete,EE,LC,P
