"raw_speciesname_europe","fit.x","NCountries","nCountriesRLEur","RedListCategoryEurope","EuropeanEndemic","Endemic","EdgeOfRange","fit.y","nCountriesRLEU","NCountriesEU","RedListCategoryEU","HabitatsDirective"
"Oeneis tarpeia",100,2,2,"LC",0,0,0,0,0,0,"NE",0
"Colias myrmidone",81.82,14,14,"EN",0,0,0,81.82,10,10,"CR","II+IV"
"Coenonympha phryne",80,2,2,"CR",0,0,0,0,0,0,"NE",0
"Turanana taygetica",80,1,1,"EN",0,0,"EoR",80,1,1,"EN",0
"Colias chrysotheme",68,8,8,"VU",0,0,0,68,5,5,"VU",0
"Pseudochazara orestes",65,2,2,"VU","EuropeanEndemic",0,0,65,2,2,"VU",0
"Coenonympha oedippus",60.46,15,15,"EN",0,0,0,60.46,10,10,"LC","II+IV"
"Nymphalis vaualbum",54.3,13,13,"LC",0,0,0,54.3,9,9,"VU","II+IV"
"Coenonympha hero",53.94,18,18,"VU",0,0,0,53.94,13,13,"VU","IV"
"Leptidea morsei",52.2,13,13,"NT",0,0,0,52.2,8,8,"EN","II+IV"
"Lycaena helle",50.53,22,22,"EN",0,0,0,50.53,15,15,"LC","II+IV"
"Tomares nogelii",50,3,3,"VU",0,0,"EoR",50,1,1,"RE",0
"Agriades zullichi",50,1,1,"EN","EuropeanEndemic","Spain",0,50,1,1,"EN",0
"Hipparchia sbordonii",50,1,1,"NT","EuropeanEndemic","Italy - Ponza Islands",0,50,1,1,"NT",0
"Maniola megala",50,1,1,"NtA",0,0,"EoR",50,1,1,"NtA",0
"Polyommatus golgus",50,1,1,"VU","EuropeanEndemic","Spain",0,50,1,1,"VU","II+IV"
"Polyommatus humedasae",50,1,1,"EN","EuropeanEndemic","Italy",0,50,1,1,"EN",0
"Polyommatus iphigenia",50,1,1,"NtA",0,0,"EoR",50,1,1,"NtA",0
"Satyrium ledereri",50,1,1,"NtA",0,0,"EoR",50,1,1,"NtA",0
"Kretania eurypilus",50,2,2,"NtA",0,0,"EoR",50,1,1,"NtA",0
"Tomares callimachus",50,2,2,"LC",0,0,"EoR",0,0,0,"NE",0
"Pseudophilotes baton",47.3,11,11,"LC","EuropeanEndemic",0,0,47.3,9,9,"LC",0
"Pyrgus onopordi",47.17,7,7,"LC",0,0,0,47.17,6,6,"LC",0
"Pyrgus cirsii",47,6,6,"VU","EuropeanEndemic",0,0,47,4,4,"VU",0
"Chazara briseis",45.75,25,25,"NT",0,0,0,45.75,15,15,"NT",0
